gain,phase,side,dataset,amp_dB,err_amp_dB,ln_fwhm,dln_fwhm
-4.1,hermitian,left,exp,-34.754713122743624,0.5283674907667475,3.5714066735524646,0.019150365506976838
-4.1,hermitian,right,exp,-30.870823355803584,0.3299847078738445,3.716699531390094,0.011029469191276677
-3.6,hermitian,left,exp,-33.558136652741936,0.38166206778936385,3.5867856005562966,0.015849938339586565
-3.6,hermitian,right,exp,-30.827432026052897,0.27138401837746784,3.7101999902426286,0.011083336506861092
-2.1,hermitian,left,exp,-32.356197064025366,0.2463132320991619,3.629959614947063,0.013080946785591432
-2.1,hermitian,right,exp,-29.80613818634317,0.17764237052772103,3.758857579785372,0.009968640687965583
2.4,hermitian,left,exp,-27.91636286365037,0.06606055577281467,3.726613678045704,0.008080606005846121
2.4,hermitian,right,exp,-27.156169381479977,0.06400447276096699,3.860756093248648,0.008399449077093344
-2.6,hermitian,left,exp,-32.605534250941545,0.25161550463263893,3.6177895347036215,0.01234045252790564
-2.6,hermitian,right,exp,-30.34212929196222,0.1884421853740612,3.728971302416741,0.009479385876850712
6.9,hermitian,left,exp,-21.477476130600994,0.2586661876935281,3.5647837285468515,0.03166889789251787
6.9,hermitian,right,exp,-21.25995864378669,0.2777455794299968,3.5679908066856845,0.032973086212190396
3.4,hermitian,left,exp,-26.85073368194856,0.05589060209424446,3.7316159686279864,0.007915624740940798
3.4,hermitian,right,exp,-26.242817421966087,0.058036090193596124,3.8406182239352584,0.008203591939848173
1.9,hermitian,left,exp,-28.513822627708972,0.07681631599033878,3.7318778602337486,0.008456222451735773
1.9,hermitian,right,exp,-27.588711838591344,0.07050852671697783,3.8579341876153457,0.008516331067093388
-2.6,nonhermitian,single,exp,-30.327406382838113,0.026026982764079776,2.995732273553991,0.07874996459353174
0.4,nonhermitian,single,exp,-29.992589319668323,0.01370395226198795,2.8569301928688504,0.03986530722495671
-3.1,nonhermitian,single,exp,-30.60996921008134,0.03230024376332352,2.995732273553991,0.0976038493075511
7.9,nonhermitian,single,exp,-1.5357001562958357,9.529777586995959,-2.655553113849852,3.2350205027602295
6.9,nonhermitian,single,exp,-15.900761818953521,0.49608645320547495,-1.8849426173936563,0.019610566186117593
-0.1,nonhermitian,single,exp,-29.355018570466083,0.008701835747007891,2.883253464958713,0.08419936165671604
1.4,nonhermitian,single,exp,-28.447425704426884,0.005156699093042505,2.6000072515633583,0.03292792528336775
5.9,nonhermitian,single,exp,-14.78802484793799,0.8104087357220635,-1.5794644398304611,0.02290860522277257
-3.6,nonhermitian,single,exp,-30.51473596319613,0.029350672574711467,2.995732273553991,0.1592270471459384
4.9,nonhermitian,single,exp,-15.061007152642338,0.050390461500514405,-0.34482499880521295,0.030877965762392236
-4.1,nonhermitian,single,exp,-31.077171114919487,0.023740565542368586,2.995732273553991,0.09932585807988797
5.4,nonhermitian,single,exp,-12.946546273355818,0.3430698000063863,-1.4190162110959739,0.03248774817980807
2.4,nonhermitian,single,exp,-26.77230901360998,0.003160191273746449,2.3333090567461117,0.017334128576818715
1.9,nonhermitian,single,exp,-27.011954565654396,0.0034879736020343444,2.4614392385695214,0.02497342142840278
-1.6,nonhermitian,single,exp,-30.259557309328137,0.029060373983085697,2.995732273553991,0.07790323087276245
-2.1,nonhermitian,single,exp,-30.242151430900503,0.027350316309618705,2.995732273553991,0.0753333652306308
6.4,nonhermitian,single,exp,-15.30321242470132,0.5104644613467464,-1.8272908673339097,0.03494190781445551
3.9,nonhermitian,single,exp,-22.420699424955906,0.0034079272128302307,1.5444823298562305,0.009948262199300565
-0.6,nonhermitian,single,exp,-31.05401470514429,0.009435042271171312,2.995732273553991,0.06100690616986108
3.4,nonhermitian,single,exp,-14.205891120915922,38.67481890158924,-2.995732273553991,114.99840540436051
2.9,nonhermitian,single,exp,-15.765432514315522,5.406800152854538,-2.978662443689571,202452658039.34293
4.4,nonhermitian,single,exp,-19.09545158812869,0.00928851594843394,0.8412453964986802,0.015898064437088952
-1.1,nonhermitian,single,exp,-30.695008926704727,0.018072615269968395,2.995732273553991,0.07180192201578255
-4.6,nonhermitian,single,exp,-31.202429391187707,0.02430277807774317,2.995732273553991,0.1432203845968937
8.4,nonhermitian,single,exp,-1.0876011927465392,9.501285525920418,-2.6418704467182232,3.6208898760363053
0.9,nonhermitian,single,exp,-27.401859912680017,0.005303565898714169,2.6438610829960303,0.03483481651316053
7.4,nonhermitian,single,exp,-2.921039051340668,6.539749415130638,-2.5934559532351034,1.4191495825574314
7.53,hermitian,left,theory,-19.328952175721422,0.15525530404475063,3.264075023219832,0.033368514590573065
7.53,hermitian,right,theory,-18.03733082507693,0.11845487416021072,3.429809775488104,0.024751036834859734
-0.7,hermitian,left,theory,-29.092955021646446,0.029595148684204986,4.006396895922227,0.002472944066729637
-0.7,hermitian,right,theory,-29.617318678932037,0.02808219029803638,3.9703657263478584,0.0020417779608797454
5.37,hermitian,left,theory,-22.969262561469854,0.16826984140818269,3.9817651039861413,0.012121682724507804
5.37,hermitian,right,theory,-24.65618193916919,0.08274428028324365,3.8495896628696533,0.008249765577406308
4.5,hermitian,left,theory,-24.13712643202676,0.09546964337701525,3.969744870020755,0.008547822941054448
4.5,hermitian,right,theory,-25.303528837064363,0.05348835656706541,3.8647603468922602,0.006319866451934409
-3.73,hermitian,left,theory,-31.097125889552466,0.02526176447630135,4.039601601159502,0.001518857095860108
-3.73,hermitian,right,theory,-31.57984546277552,0.025398398528341914,4.015285565611863,0.0012688515216426751
3.2,hermitian,left,theory,-25.63085136925038,0.05485040903833038,3.9697053556059805,0.005762467425579586
3.2,hermitian,right,theory,-26.436063100394612,0.03796960727948928,3.893584882588653,0.004523215050493513
-1.57,hermitian,left,theory,-29.718887552266644,0.027993186535333336,4.01612136325213,0.002125064228500252
-1.57,hermitian,right,theory,-30.224999598971948,0.027199911334751192,3.9844273106856,0.0017617788505315363
1.03,hermitian,left,theory,-27.6987093020786,0.03492243805558104,3.9874613541199055,0.003465056289254115
1.03,hermitian,right,theory,-28.28705795976793,0.03047999869572493,3.9390707962712357,0.0028249723826186753
-4.6,hermitian,left,theory,-31.580036224952295,0.024453576937467858,4.048331342392767,0.0013490520767991687
-4.6,hermitian,right,theory,-32.05810706274742,0.02478185219200668,4.026061195469413,0.0011298016653336893
2.33,hermitian,left,theory,-26.509152180713905,0.043505694971251785,3.975333321418617,0.00463084758465644
2.33,hermitian,right,theory,-27.19610224664606,0.033767335573433144,3.912588457360764,0.0037093844892018787
0.17,hermitian,left,theory,-28.421012466282278,0.03176858767870527,3.9967315765238522,0.0029096458669782953
0.17,hermitian,right,theory,-28.970923497487778,0.029132679980179432,3.955288125339415,0.002389507087304965
-2.43,hermitian,left,theory,-30.30086892769534,0.02673676511705736,4.025758979424183,0.001844536988950378
-2.43,hermitian,right,theory,-30.79509861317819,0.0264232864020002,3.9974806534532195,0.0015343987242428677
4.07,hermitian,left,theory,-24.66361392261472,0.0767303295401156,3.968043608707196,0.007403275350712283
4.07,hermitian,right,theory,-25.672322294231996,0.046230395421797965,3.874130402995414,0.0056169604249769675
6.23,hermitian,left,theory,-21.8090723075912,0.3021497299886917,3.942613662389355,0.01872827642458195
6.23,hermitian,right,theory,-23.317069855283417,0.14612156411634558,3.8419812392766755,0.011703079514402399
-0.27,hermitian,left,theory,-28.7629471191371,0.0305912371755106,4.00153668603005,0.0026786370893207064
-0.27,hermitian,right,theory,-29.298888125652944,0.028580704162415316,3.962953893488816,0.0022060960214353217
-2.0,hermitian,left,theory,-30.015136786042884,0.027329198261274,4.020975107912237,0.0019772969557981233
-2.0,hermitian,right,theory,-30.514884703454776,0.026799877144348727,3.991074459490545,0.0016421833530812814
6.67,hermitian,left,theory,-21.232991330040694,0.4070389821746154,3.9026494121516055,0.02450000952024237
6.67,hermitian,right,theory,-22.326339398612426,0.20288626500635232,3.835009930154591,0.01485598850068943
-4.17,hermitian,left,theory,-31.343193686115217,0.024834112171316036,4.044024725595051,0.0014293669595958317
-4.17,hermitian,right,theory,-31.823395856606048,0.025074762768337422,4.020780766078385,0.0011956138578785318
5.8,hermitian,left,theory,-22.338308886247788,0.23599037153728375,3.9858140144840486,0.015031870164676131
5.8,hermitian,right,theory,-24.312821773705316,0.11175867811330065,3.846143681723492,0.009657733309890231
8.4,hermitian,left,theory,-16.57467583851379,0.0534786690137814,2.724187164055558,0.018221567868662195
8.4,hermitian,right,theory,-15.33285839698115,0.04621865745673581,2.973923985646084,0.014679522807472542
1.9,hermitian,left,theory,-26.921181583526593,0.03988154489527673,3.979022793784342,0.004186086778126172
1.9,hermitian,right,theory,-27.567586704444707,0.032410575910994055,3.9217075255389617,0.003377095117426822
2.77,hermitian,left,theory,-26.079710735981486,0.04831883166770723,3.972169949976158,0.005149342716206513
2.77,hermitian,right,theory,-26.81830239842371,0.03554890502887886,3.9031995414449936,0.004088073599694699
-2.87,hermitian,left,theory,-30.576388832035985,0.026198027182093853,4.030455051946829,0.001724670320297774
-2.87,hermitian,right,theory,-31.065737101174847,0.026061869236404078,4.003653618322972,0.0014368157101630672
4.93,hermitian,left,theory,-23.574661776157694,0.12376368307501195,3.974019179495708,0.01005112419042538
4.93,hermitian,right,theory,-24.95840653025468,0.06467927845400112,3.8562680225890156,0.0071753256094371715
7.97,hermitian,left,theory,-17.88764053836531,0.06896679239585524,2.8641558350711738,0.024419091496659977
7.97,hermitian,right,theory,-16.58613438602671,0.059151139525088325,3.107328070695482,0.018906419804998895
-1.13,hermitian,left,theory,-29.411744960131408,0.028737640736562042,4.011242979370874,0.002289196519761143
-1.13,hermitian,right,theory,-29.92567254193186,0.027621240352701193,3.9775402981908394,0.0018941550991443635
1.47,hermitian,left,theory,-27.317275913943394,0.037099498777969586,3.9831028826201567,0.003800996703263065
1.47,hermitian,right,theory,-27.93154226151347,0.031344501792791135,3.9305327140359467,0.003084181038366175
-3.3,hermitian,left,theory,-30.841820565380125,0.025706400603091595,4.035067949111571,0.0016163961061019477
-3.3,hermitian,right,theory,-31.327148806811962,0.025717650713311002,4.0095911247756,0.0013484849998137366
