set_back_attenuation_db,measured_attenuation_db
0.0,-5.612373449971152
1.0,-6.718381610455637
2.0,-7.733841907747639
3.0,-8.745078405182468
4.0,-9.776047763296162
5.0,-10.78768433078134
6.0,-11.810071779081795
7.0,-12.823344338756216
8.0,-14.060651549074072
9.0,-15.070740233383006
10.0,-15.978649339939537
11.0,-16.949162671086604
12.0,-18.10847303652163
13.0,-19.086584753659224
14.0,-20.08048977038085
15.0,-21.060111014708525
16.0,-22.27430629274609
17.0,-23.336386770698724
18.0,-24.41548289041225
19.0,-25.46066872600524
20.0,-26.386501012859892
