set_back_attenuation_db,measured_attenuation_db
0.0,-5.84277123961845
1.0,-6.947246525744347
2.0,-7.967655321699908
3.0,-8.98486876804796
4.0,-10.017243624211403
5.0,-11.02351272270498
6.0,-12.050948171075916
7.0,-13.061617197035773
8.0,-14.29240476042326
9.0,-15.30687550170893
10.0,-16.216670474478583
11.0,-17.170494185925875
12.0,-18.33698077682032
13.0,-19.322189304109145
14.0,-20.31669799570531
15.0,-21.29506284542108
16.0,-22.52251644618005
17.0,-23.557431561095957
18.0,-24.661943811724285
19.0,-25.6939963926106
20.0,-26.618211803533026
