set_back_attenuation_db,measured_attenuation_db
0.0,-5.386025636470968
1.0,-6.491482668012132
2.0,-7.503714721365505
3.0,-8.510567175497982
4.0,-9.543508952606553
5.0,-10.548806412044229
6.0,-11.57633931941421
7.0,-12.590625895195991
8.0,-13.82816888886748
9.0,-14.846786067593923
10.0,-15.76149027384804
11.0,-16.707785070245706
12.0,-17.873556764629313
13.0,-18.86902863732596
14.0,-19.853614011757656
15.0,-20.82380959625506
16.0,-22.061044099905168
17.0,-23.100512635259648
18.0,-24.20401126156776
19.0,-25.22639922019493
20.0,-26.15841807087586
