gain,phase,side,dataset,amp_dB,err_amp_dB,ln_fwhm,dln_fwhm
7.4,hermitian,right,exp,-19.066146839782864,0.10825148049583078,2.927249007323531,0.035504173572562775
-4.6,hermitian,left,exp,-34.605796876091176,0.6113633103120932,3.5741257063380445,0.0201180047611251
-4.6,hermitian,right,exp,-31.488228110492624,0.41966399208051897,3.6977288193934834,0.012394164018750056
4.9,hermitian,left,exp,-25.034232523198664,0.08715270967038435,3.7302871369224975,0.01203593996394553
4.9,hermitian,right,exp,-24.6445493448211,0.09281109138684229,3.773958759036674,0.012237471955041357
5.4,hermitian,left,exp,-24.318526839219707,0.1129923086399458,3.7025479162734536,0.014610891092165871
5.4,hermitian,right,exp,-23.989673370824466,0.12933484168522824,3.7661388090927232,0.015436287285465962
0.9,hermitian,left,exp,-29.427946118847622,0.10723949924481246,3.724036082847168,0.009648378196649076
0.9,hermitian,right,exp,-28.33646613524616,0.09368328832211503,3.8461036937849906,0.009438301498888262
5.9,hermitian,left,exp,-23.65655179909836,0.1474513677703726,3.6530650202717916,0.017800554624650987
5.9,hermitian,right,exp,-23.198504192061108,0.1902830085383549,3.769654237557089,0.019981090554336747
7.9,hermitian,left,exp,-16.573841886128584,0.07587205715497802,2.5780805039594643,0.0247347235084034
7.9,hermitian,right,exp,-16.91402960931228,0.08038081058765911,2.5838111879649857,0.02664633885767692
-0.1,hermitian,left,exp,-30.20868691919068,0.17539854868923754,3.7019857389349156,0.013134537838132374
-0.1,hermitian,right,exp,-29.026483302668996,0.14960517206134583,3.820574674392911,0.012504543086908593
-1.6,hermitian,left,exp,-31.651432930113277,0.21544287656275074,3.655333973133384,0.012331046769725327
-1.6,hermitian,right,exp,-29.757291866503607,0.1682044425101168,3.7679387399800714,0.010294971945413728
-4.1,hermitian,left,exp,-34.754711564368606,0.5283671918252324,3.5714066641984936,0.019150358347689737
-4.1,hermitian,right,exp,-30.87082377495145,0.3299845957890426,3.7166994527550163,0.011029468380989576
-3.6,hermitian,left,exp,-33.55812591916818,0.381661408931393,3.5867858865906923,0.015849912974398795
-3.6,hermitian,right,exp,-30.82743842402113,0.27138411333315204,3.710199661868749,0.011083342732954912
-2.1,hermitian,left,exp,-32.35617777389741,0.24631271760014073,3.6299604619306773,0.01308091919778427
-2.1,hermitian,right,exp,-29.80615128000626,0.17764272228504652,3.758856986379789,0.009968653857785233
2.4,hermitian,left,exp,-27.916360754813784,0.0660605389308877,3.7266138897517185,0.00808060533911955
2.4,hermitian,right,exp,-27.156170987963264,0.0640044773028734,3.8607558797702652,0.008399449088924534
-2.6,hermitian,left,exp,-32.605543475088474,0.2516157764679221,3.617789173358623,0.012340466079275518
-2.6,hermitian,right,exp,-30.342122839000773,0.1884420205407551,3.7289715809095383,0.009479379460960752
6.9,hermitian,left,exp,-21.47747889821451,0.25866662816491726,3.5647842902168736,0.03166889756068617
6.9,hermitian,right,exp,-21.2599617309482,0.2777461639477643,3.56799184253335,0.032973091770542265
3.4,hermitian,left,exp,-26.850721970211623,0.05589056985100882,3.731617448395156,0.007915623839684038
3.4,hermitian,right,exp,-26.242826647844446,0.05803607097243102,3.8406167183477793,0.00820359045972569
1.9,hermitian,left,exp,-28.513817241223244,0.07681626162985111,3.731878332743946,0.008456220198662802
1.9,hermitian,right,exp,-27.58871591022463,0.07050854929547867,3.8579337165631014,0.008516331693584215
-2.6,nonhermitian,single,exp,-24.678508762322828,0.3470371742034537,2.995732273553991,0.06418081029676839
0.4,nonhermitian,single,exp,-20.09380345888765,0.25135985146801687,2.8831581215659177,0.0348830807132418
-3.1,nonhermitian,single,exp,-25.270846733359285,0.4053250428871422,2.995732273553991,0.07833151588212438
7.9,nonhermitian,single,exp,15.033960659459535,2.7240488033446404,-1.047875473689133,0.5540204263857124
6.9,nonhermitian,single,exp,15.047137446285612,2.2977601366115987,-0.9686255834349216,0.45278102842953233
-0.1,nonhermitian,single,exp,-21.00142171298545,0.45687315922699057,2.907630636559793,0.06936762116259979
