net_gain,phase,amplitude_lc,frequency_lc
4.0,2.783689693054247,2.39666199291648e-13,0.0
4.0,2.863223684284369,1.2875405083619329e-14,0.0
4.0,2.94275767551449,7.943730251949677e-15,0.0
4.0,3.022291666744611,5.452586191000408e-14,0.0
4.0,3.1018256579747328,6.61633579840693e-13,0.0
4.0,3.181359649204854,2.2704191707031205e-12,0.0
4.0,3.2608936404349755,1.9987687850074025e-13,0.0
4.0,3.3404276316650967,1.854844358102436e-14,0.0
4.0,3.419961622895218,8.350948351443592e-14,0.0
4.0,3.4994956141253395,2.1408955334137598e-13,0.0
4.0,3.5790296053554607,2.597721670475767e-14,0.0
4.0,3.6585635965855823,1.15143483506313e-13,0.0
4.0,3.7380975878157034,1.3400156868287812e-14,0.0
4.0,3.817631579045825,6.994289336232875e-14,0.0
4.0,3.8971655702759462,4.902518806797331e-15,0.0
4.0,3.9766995615060674,3.9876410021541144e-13,0.0
4.0,4.056233552736189,2.0273268752052396e-12,0.0
4.0,4.135767543966311,3.2950592479180186e-13,0.0
4.0,4.215301535196431,1.992138531807908e-14,0.0
4.0,4.294835526426553,5.864623992665536e-14,0.0
4.0,4.374369517656675,6.072610763030912e-13,0.0
4.0,4.453903508886795,3.7820758796006467e-13,0.0
4.0,4.533437500116917,1.7771560807014522e-13,0.0
4.0,4.6129714913470385,7.855870848916822e-14,0.0
4.0,4.692505482577159,3.918670793976512e-13,0.0
4.0,4.772039473807281,1.15790590969887e-13,0.0
4.0,4.8515734650374025,4.6805124115904915e-14,0.0
4.0,4.931107456267524,1.9746421921480625e-13,0.0
4.0,5.010641447497645,3.1449160255851877e-14,0.0
4.0,5.0901754387277665,2.878945795175959e-13,0.0
4.0,5.169709429957888,1.3252663897049958e-13,0.0
4.0,5.249243421188009,1.081481185990356e-13,0.0
4.0,5.32877741241813,6.303412653205965e-13,0.0
4.0,5.408311403648252,1.6276969430932736e-14,0.0
4.0,5.487845394878374,2.679320646975292e-13,0.0
4.0,5.567379386108494,2.9910273653766207e-14,0.0
4.0,5.646913377338616,1.3386843357291759e-14,0.0
4.0,5.726447368568738,1.3118871540982509e-14,0.0
4.0,5.805981359798858,4.903332210907303e-14,0.0
4.0,5.88551535102898,5.028973710363923e-15,0.0
4.0,5.9650493422591016,3.16008328043788e-13,0.0
4.0,6.044583333489222,5.1368400357961044e-14,0.0
4.0,6.124117324719344,8.308494175588566e-15,0.0
4.0,6.2036513159494655,3.477689610699748e-14,0.0
4.0,6.283185307179586,1.6308676627387481e-13,0.0
4.055696202531646,0.0,1.4591415819796024e-13,0.0
4.055696202531646,0.07953399123012135,1.366232506426847e-12,0.0
4.055696202531646,0.1590679824602427,2.9212062116314534e-14,0.0
4.055696202531646,0.23860197369036407,1.9875548856357513e-14,0.0
4.055696202531646,0.3181359649204854,8.020769663872475e-14,0.0
4.055696202531646,0.39766995615060674,6.229762816793433e-14,0.0
4.055696202531646,0.47720394738072813,5.818391244058583e-13,0.0
