drive_frequency_GHz,power_at_peak_dBm
6.019808404,-21.530339710166757
6.019816408,-21.49699149937505
6.019824412,-21.517798260914663
6.019832416,-21.52217066413949
6.01984042,-21.457574346421318
6.019848424,-21.48540506762953
6.019856428,-21.467187377362112
6.019864432,-21.47359320007457
6.019872436,-21.405863336759285
6.01988044,-21.46719929207145
6.019888444,-21.4197501860412
6.019896448,-21.410469152912693
6.019904452,-21.392354777845355
6.019912456,-21.421781249872826
6.01992046,-21.37552120982808
6.019928464,-21.357142683509363
6.019936468,-21.39059833371983
6.019944472,-21.35129901499318
6.019952476,-21.34066356660853
6.01996048,-21.32390803799844
6.019968484,-21.36253842149825
6.019976488,-21.28489566680072
6.019984492,-21.31581501346671
6.019992496,-21.296469321574243
6.0200005,-21.303917256425056
6.020008504,-21.24034599141803
6.020016508,-21.288657472019796
6.020024512,-21.25963467850905
6.020032516,-21.23310527284117
6.02004052,-21.23066366461453
6.020048524,-21.24209288719747
6.020056528,-21.21728468061139
6.020064532,-21.178620417135058
6.020072536,-21.227277787112904
6.02008054,-21.177384997975
6.020088544,-21.174975428565105
6.020096548,-21.1490533393539
6.020104552,-21.19356605224201
6.020112556,-21.11376529449847
6.02012056,-21.14067508176726
6.020128564,-21.12750945155781
6.020136568,-21.1309717311741
6.020144572,-21.073224961817143
6.020152576,-21.11079535941733
6.02016058,-21.09518818310733
6.020168584,-21.05648514962635
6.020176588,-21.063518006440724
6.020184592,-21.06523597897825
6.020192596,-21.051240380846465
6.0202006,-21.00004939801054
6.020208604,-21.056451557060814
6.020216608,-21.00298033682129
6.020224612,-21.002431555954225
6.020232616,-20.972902406430475
6.02024062,-21.017847253770693
6.020248624,-20.94163983066641
6.020256628,-20.956995663913556
6.020264632,-20.957335191153405
6.020272636,-20.94938077048084
6.02028064,-20.90047634334485
6.020288644,-20.936396096821117
6.020296648,-20.92017703803226
6.020304652,-20.89077556644461
6.020312656,-20.888010620189142
6.02032066,-20.89495355755718
6.020328664,-20.875655835150827
6.020336668,-20.828142762699933
6.020344672,-20.88147449022548
6.020352676,-20.82827742628771
6.02036068,-20.82722127743763
6.020368684,-20.798496130077613
6.020376688,-20.844012600424872
6.020384692,-20.76485529880696
6.020392696,-20.78611806545257
6.0204007,-20.77771411677711
6.020408704,-20.77614570883107
6.020416708,-20.722802170011665
6.020424712,-20.756093142172453
6.020432716,-20.74410952009581
6.02044072,-20.70386283921581
6.020448724,-20.709993454712613
6.020456728,-20.709284755655396
6.020464732,-20.69668413768692
6.020472736,-20.645831764800818
6.02048074,-20.70058212245567
6.020488744,-20.646462244943656
6.020496748,-20.645255814032907
6.020504752,-20.61867731841296
6.020512756,-20.663535890984484
6.02052076,-20.58324141005883
6.020528764,-20.607567319418564
6.020536768,-20.594928120327918
6.020544772,-20.596937281193853
6.020552776,-20.538843986568477
6.02056078,-20.577252429866853
6.020568784,-20.55790027738533
6.020576788,-20.52288970244888
6.020584792,-20.524247319298773
6.020592796,-20.530942351721645
6.0206008,-20.50969367425534
6.020608804,-20.465758919681846
6.020616808,-20.51513080982325
6.020624812,-20.464851243897616
6.020632816,-20.461173014732065
6.02064082,-20.435802594371488
6.020648824,-20.478565287625948
6.020656828,-20.397159872173724
6.020664832,-20.42498771742774
6.020672836,-20.407216053327552
6.02068084,-20.412943116540596
6.020688844,-20.349038012145574
6.020696848,-20.390384648279035
6.020704852,-20.366575583453933
6.020712856,-20.344860340533536
6.02072086,-20.33273691543314
6.020728864,-20.36137722692224
6.020736868,-20.31236498026077
6.020744872,-20.29076902927197
6.020752876,-20.321824642307757
6.02076088,-20.28408409913148
6.020768884,-20.2683342426114
6.020776888,-20.25516880144813
6.020784892,-20.2872170178035
6.020792896,-20.210775556700117
6.0208009,-20.239685452827857
