drive_frequency_GHz,power_at_peak_dBm
6.018912,-24.927595138549805
6.018932,-25.15613174438477
6.018952,-24.84247589111328
6.018972,-24.81686019897461
6.018992,-25.044464111328125
6.019012,-24.728269577026367
6.019032,-24.856904983520508
6.019052,-24.753646850585938
6.019072,-24.73748779296875
6.019092,-24.94900703430176
6.019112,-24.782346725463867
6.019132,-24.91782569885254
6.019152,-24.830860137939453
6.019172,-24.729633331298828
6.019192,-24.940332412719727
6.019212,-24.498544692993164
6.019232,-24.69174575805664
6.019252,-24.566919326782227
6.019272,-24.56465721130371
6.019292,-24.71448135375977
6.019312,-24.494524002075195
6.019332,-24.57294273376465
6.019352,-24.535213470458984
6.019372,-24.452693939208984
6.019392,-24.6897087097168
6.019412,-24.334047317504883
6.019432,-24.46079444885254
6.019452,-24.379648208618164
6.019472,-24.39188766479492
6.019492,-24.63346290588379
6.019512,-24.50359916687012
6.019532,-24.61684226989746
6.019552,-24.496065139770508
6.019572,-24.265106201171875
6.019592,-24.28847312927246
6.019612,-24.20577049255371
6.019632,-24.39727783203125
6.019652,-24.31260108947754
6.019672,-24.2894344329834
6.019692,-24.429462432861328
6.019712,-24.107641220092773
6.019732,-24.24173164367676
6.019752,-24.177364349365234
6.019772,-24.13016128540039
6.019792,-24.19931983947754
6.019812,-24.14884376525879
6.019832,-24.16642951965332
6.019852,-24.032939910888672
6.019872,-24.05387687683105
6.019892,-24.239681243896484
6.019912,-24.12273025512696
6.019932,-24.127668380737305
6.019952,-23.92587852478028
6.019972,-23.905948638916016
6.019992,-23.94828224182129
6.020012,-23.9190731048584
6.020032,-24.07608222961425
6.020052,-23.81159210205078
6.020072,-23.77804374694824
6.020092,-23.97732734680176
6.020112,-23.836009979248047
6.020132,-23.9479923248291
6.020152,-23.92318153381348
6.020172,-23.862754821777344
6.020192,-23.80006217956543
6.020212,-23.649656295776367
6.020232,-23.818824768066406
6.020252,-23.72439956665039
6.020272,-23.76107406616211
6.020292,-23.872482299804688
6.020312,-23.542469024658203
6.020332,-23.679412841796875
6.020352,-23.665382385253903
6.020372,-23.605443954467773
6.020392,-23.72583770751953
6.020412,-23.41723823547364
6.020432,-23.62079429626465
6.020452,-23.457483291625977
6.020472,-23.478702545166016
6.020492,-23.618070602416992
6.020512,-23.40024948120117
6.020532,-23.554702758789062
6.020552,-23.51791954040528
6.020572,-23.28597450256348
6.020592,-23.467891693115234
6.020612,-23.17620849609375
6.020632,-23.45674514770508
6.020652,-23.207996368408203
6.020672,-23.291099548339844
6.020692,-23.356061935424805
6.020712,-23.28413391113281
6.020732,-23.23139953613281
6.020752,-23.24925422668457
6.020772,-23.23648834228516
6.020792,-23.185359954833984
6.020812,-23.07953453063965
6.020832,-23.198383331298828
6.020852,-22.98831558227539
6.020872,-22.953575134277344
6.020892,-23.1545524597168
6.020912,-22.97794342041016
6.020932,-23.078426361083984
6.020952,-22.99372100830078
6.020972,-22.997358322143555
6.020992,-22.95563125610352
6.021012,-22.85392189025879
6.021032,-22.981239318847656
6.021052,-22.824018478393555
6.021072,-22.83433723449707
6.021092,-22.969322204589844
6.021112,-22.792001724243164
6.021132,-22.92628288269043
6.021152,-22.86579322814941
6.021172,-22.7434310913086
6.021192,-22.80742073059082
6.021212,-22.741640090942383
6.021232,-22.872634887695312
6.021252,-22.6524600982666
6.021272,-22.53153419494629
6.021292,-22.66163825988769
6.021312,-22.54047966003418
