drive_frequency_GHz,power_at_peak_dBm
6.026052,-2.7332019805908203
6.026072,-2.4873571395874023
6.026092,-2.6266889572143555
6.026112,-3.119614601135254
6.026132,-2.6609325408935547
6.026152,-2.7927865982055664
6.026172,-2.440066337585449
6.026192,-2.510542869567871
6.026212,-3.5189599990844727
6.026232,-2.626357078552246
6.026252,-2.708451271057129
6.026272,-2.427452087402344
6.026292,-2.644153594970703
6.026312,-3.1518783569335938
6.026332,-2.563175201416016
6.026352,-2.812723159790039
6.026372,-2.4430160522460938
6.026392,-2.527417182922364
6.026412,-3.5048131942749023
6.026432,-2.474435806274414
6.026452,-2.6897077560424805
6.026472,-2.434896469116211
6.026492,-2.5922584533691406
6.026512,-3.0675277709960938
6.026532,-2.594959259033203
6.026552,-2.8949995040893555
6.026572,-2.5942201614379883
6.026592,-2.612223625183105
6.026612,-3.3925695419311523
6.026632,-2.501927375793457
6.026652,-2.711183547973633
6.026672,-2.4182844161987305
6.026692,-2.58197021484375
6.026712,-3.066044807434082
6.026732,-2.590524673461914
6.026752,-2.840179443359375
6.026772,-2.485295295715332
6.026792,-2.575156211853028
6.026812,-3.378015518188477
6.026832,-2.505870819091797
6.026852,-2.7419357299804688
6.026872,-2.440793037414551
6.026892,-2.566884994506836
6.026912,-3.075746536254883
6.026932,-2.571046829223633
6.026952,-2.855318069458008
6.026972,-2.477606773376465
6.026992,-2.576197624206543
6.027012,-3.393209457397461
6.027032,-2.557113647460937
6.027052,-2.7673559188842773
6.027072,-2.461162567138672
6.027092,-2.6561851501464844
6.027112,-3.109569549560547
6.027132,-2.614180564880371
6.027152,-2.9502992630004883
6.027172,-2.488936424255371
6.027192,-2.4700193405151367
6.027212,-3.39975643157959
6.027232,-2.5317420959472656
6.027252,-2.7861146926879883
6.027272,-2.5420122146606445
6.027292,-2.68975830078125
6.027312,-3.1528091430664062
6.027332,-2.6684436798095703
6.027352,-2.8336057662963867
6.027372,-2.408595085144043
6.027392,-2.5176315307617188
6.027412,-3.5078725814819336
6.027432,-2.492228507995605
6.027452,-2.690300941467285
6.027472,-2.4048337936401367
6.027492,-2.582822799682617
6.027512,-3.0787429809570312
6.027532,-2.617288589477539
6.027552,-2.967358589172364
6.027572,-2.608342170715332
6.027592,-2.5270166397094727
6.027612,-3.467953681945801
6.027632,-2.6265249252319336
6.027652,-2.852574348449707
6.027672,-2.404677391052246
6.027692,-2.580000877380371
6.027712,-3.0758018493652344
6.027732,-2.653951644897461
6.027752,-2.822925567626953
6.027772,-2.477594375610352
6.027792,-2.62210750579834
6.027812,-3.441883087158203
6.027832,-2.560269355773926
6.027852,-2.8464059829711914
6.027872,-2.4549379348754883
6.027892,-2.543102264404297
6.027912,-3.0771141052246094
6.027932,-2.60737419128418
6.027952,-2.9191856384277344
6.027972,-2.618350982666016
6.027992,-2.6740026473999023
6.028012,-3.567380905151367
6.028032,-2.685715675354004
6.028052,-2.8312206268310547
6.028072,-2.409712791442871
6.028092,-2.567117691040039
6.028112,-3.064117431640625
6.028132,-2.6447715759277344
6.028152,-3.014389991760254
6.028172,-2.551084518432617
6.028192,-2.51693058013916
6.028212,-3.523383140563965
6.028232,-2.6188621520996094
6.028252,-2.8231210708618164
6.028272,-2.519704818725586
6.028292,-2.673473358154297
6.028312,-3.1432323455810547
6.028332,-2.7549304962158203
6.028352,-3.117403984069824
6.028372,-2.622818946838379
6.028392,-2.565035820007324
6.028412,-3.689606666564941
6.028432,-2.746108055114746
6.028452,-2.826704978942871
6.028472,-2.59909725189209
6.028492,-2.769083023071289
6.028512,-3.278390884399414
6.028532,-2.746514320373535
6.028552,-3.008066177368164
6.028572,-2.606095314025879
6.028592,-2.67169189453125
6.028612,-3.692293167114258
6.028632,-2.820729255676269
6.028652,-3.017643928527832
6.028672,-2.720522880554199
6.028692,-2.912778854370117
6.028712,-4.593935012817383
6.028732,-5.06517219543457
6.028752,-5.491077423095703
6.028772,-5.332552909851074
6.028792,-5.371328353881836
6.028812,-5.876955032348633
6.028832,-5.322966575622559
6.028852,-5.624387741088867
6.028872,-5.519528388977051
6.028892,-6.061519622802734
6.028912,-7.268791198730469
6.028932,-6.677103042602539
6.028952,-7.615184783935547
6.028972,-8.465754508972168
6.028992,-8.989524841308594
6.029012,-9.595396041870115
6.029032,-8.82351303100586
6.029052,-9.255777359008787
6.029072,-9.958210945129396
6.029092,-9.594992637634276
6.029112,-10.059553146362305
6.029132,-9.632806777954102
6.029152,-9.869690895080566
6.029172,-10.377490997314451
6.029192,-9.409189224243164
6.029212,-10.760411262512209
