FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-76.12036645805586
-27322290.61989825,-76.493868800886
-27315458.339173097,-76.34761054160678
-27308626.058447942,-76.03700019192527
-27301793.777722783,-76.09531310222911
-27294961.496997632,-76.40030452840529
-27288129.216272473,-76.18276115222274
-27281296.935547315,-76.16225595260431
-27274464.654822163,-76.04447218244854
-27267632.374097005,-76.24699684315905
-27260800.09337185,-75.98712654250672
-27253967.812646694,-76.17724331307224
-27247135.53192154,-76.25873830206753
-27240303.25119638,-76.31167120748727
-27233470.97047123,-76.27419520767344
-27226638.68974607,-76.34470681889755
-27219806.409020912,-76.31230407639511
-27212974.12829576,-76.3781570147938
-27206141.8475706,-76.17688291185954
-27199309.566845447,-76.02270868190539
-27192477.286120296,-76.2720773786811
-27185645.005395137,-76.18151207111191
-27178812.724669978,-76.19475180203628
-27171980.443944827,-76.2155455464112
-27165148.163219668,-76.121095740324
-27158315.88249451,-76.22170568580748
-27151483.601769358,-76.241188486249
-27144651.321044203,-76.1963504281715
-27137819.040319044,-76.16472578929171
-27130986.759593893,-76.38885015889952
-27124154.478868734,-76.1840379189924
-27117322.198143575,-76.370225662131
-27110489.917418424,-76.29699016117128
-27103657.636693265,-76.0605619704444
-27096825.35596811,-76.58099383946501
-27089993.075242955,-76.24359218954667
-27083160.7945178,-76.39868098984971
-27076328.51379264,-76.10898154184989
-27069496.233067483,-76.09080060189699
-27062663.95234233,-75.92162554667289
-27055831.671617173,-76.20972563000504
-27048999.390892018,-76.06736441515079
-27042167.110166863,-75.98265504325008
-27035334.829441708,-76.37296084267625
-27028502.54871655,-76.33409744833165
-27021670.267991398,-76.26417252233628
-27014837.98726624,-76.10333838386534
-27008005.70654108,-76.19037726521485
-27001173.42581593,-76.35570338440345
-26994341.14509077,-76.1759092561469
-26987508.864365615,-75.94745682361724
-26980676.583640464,-76.48700242421985
-26973844.302915305,-76.7570519893244
-26967012.022190146,-76.00893747181914
-26960179.741464995,-76.23282684223632
-26953347.460739836,-76.26971897937818
-26946515.18001468,-76.17117091098173
-26939682.899289526,-76.42446086612654
-26932850.61856437,-76.24149425728947
-26926018.337839212,-76.3977007892413
-26919186.05711406,-76.29984145663418
-26912353.776388902,-76.28498586123787
-26905521.495663743,-76.15686360660378
-26898689.214938592,-76.52944816448849
-26891856.934213433,-76.5365058167678
-26885024.65348828,-75.8352592636702
-26878192.372763123,-75.51530602381173
-26871360.09203797,-76.1623922527691
-26864527.81131281,-76.43230273639722
-26857695.53058766,-76.0676537502706
-26850863.2498625,-76.08390965712152
-26844030.96913734,-76.55331216244471
-26837198.68841219,-76.21655902007474
-26830366.40768703,-76.43313981001333
-26823534.126961876,-76.17844653157543
-26816701.846236717,-76.4922079183741
-26809869.565511566,-76.13193976604849
-26803037.284786407,-76.23403526318975
-26796205.00406125,-76.47097156681318
-26789372.723336097,-75.94005617611174
