FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-81.36233061179033
-27322290.61989825,-81.40745369953537
-27315458.339173097,-81.41039832343051
-27308626.058447942,-81.35233759561225
-27301793.777722783,-81.42315267450526
-27294961.496997632,-81.41877591468148
-27288129.216272473,-81.43617372541738
-27281296.935547315,-81.44898029048107
-27274464.654822163,-81.49526998486755
-27267632.374097005,-81.57259779995918
-27260800.09337185,-81.67651038080103
-27253967.812646694,-81.29132654490947
-27247135.53192154,-81.55539418469698
-27240303.25119638,-81.7228704278603
-27233470.97047123,-81.90317341806508
-27226638.68974607,-82.33411242933573
-27219806.409020912,-82.85808321169003
-27212974.12829576,-77.8368268961427
-27206141.8475706,-80.0476210301484
-27199309.566845447,-80.54651687321069
-27192477.286120296,-80.71376887739639
-27185645.005395137,-80.85351021158348
-27178812.724669978,-80.93329324080779
-27171980.443944827,-80.93602609734623
-27165148.163219668,-80.88420499410435
-27158315.88249451,-81.08305655015863
-27151483.601769358,-81.06004114918115
-27144651.321044203,-81.09839030206997
-27137819.040319044,-81.11139685835593
-27130986.759593893,-81.1010752934294
-27124154.478868734,-81.15675867668527
-27117322.198143575,-81.11074236073694
-27110489.917418424,-81.08806020210443
-27103657.636693265,-81.1430227082285
-27096825.35596811,-81.13691881049354
-27089993.075242955,-81.13761541071736
-27083160.7945178,-81.13511606985007
-27076328.51379264,-81.12435713155277
-27069496.233067483,-81.28812943537704
-27062663.95234233,-81.181826830746
-27055831.671617173,-81.15316643289984
-27048999.390892018,-81.16992744700156
-27042167.110166863,-81.16466109579564
-27035334.829441708,-81.16225061501324
-27028502.54871655,-81.1467890135321
-27021670.267991398,-81.17111032012446
-27014837.98726624,-81.13512939149446
-27008005.70654108,-81.15947888804286
-27001173.42581593,-81.15977457083979
-26994341.14509077,-81.14445917456194
-26987508.864365615,-81.12873673954688
-26980676.583640464,-81.10277717021572
-26973844.302915305,-81.19670857800912
-26967012.022190146,-81.16908646199397
-26960179.741464995,-81.18888232850658
-26953347.460739836,-81.1540081232933
-26946515.18001468,-81.1714668421147
-26939682.899289526,-81.16038302832712
-26932850.61856437,-81.14641636638021
-26926018.337839212,-81.10595929009902
-26919186.05711406,-81.1938697221346
-26912353.776388902,-81.14714951533333
-26905521.495663743,-81.18298449670976
-26898689.214938592,-81.1593827450821
-26891856.934213433,-81.14605093586488
-26885024.65348828,-80.9216004534013
-26878192.372763123,-81.1768978979797
-26871360.09203797,-81.15280038497639
-26864527.81131281,-81.17213888136013
-26857695.53058766,-81.17012763513267
-26850863.2498625,-81.13421586675138
-26844030.96913734,-81.17895526010224
-26837198.68841219,-81.13395311075337
-26830366.40768703,-81.303113166261
-26823534.126961876,-81.18674980354479
-26816701.846236717,-81.18302576331585
-26809869.565511566,-81.1281898714639
-26803037.284786407,-81.20407655066329
-26796205.00406125,-81.16216161712907
-26789372.723336097,-81.14602920947573
-26782540.44261094,-81.1481011663306
-26775708.161885783,-81.22101346775635
-26768875.88116063,-81.16055634741116
-26762043.600435473,-81.16589125956195
-26755211.319710314,-81.14931951342999
-26748379.038985163,-81.1404430846998
-26741546.758260004,-81.16129158423692
-26734714.47753485,-81.16143539415646
-26727882.196809694,-81.15297955793338
-26721049.91608454,-81.15945344510614
-26714217.63535938,-81.12217811369405
-26707385.35463423,-81.13134550543785
-26700553.07390907,-81.13744410428032
-26693720.79318391,-81.14741918868535
-26686888.51245876,-81.13319153623135
-26680056.2317336,-81.16454986632371
-26673223.951008447,-81.14249626113411
-26666391.67028329,-81.1232002613623
-26659559.389558136,-81.15922416041954
-26652727.108832978,-81.12912125551591
-26645894.828107826,-81.20606747057442
-26639062.547382668,-81.1490865136366
-26632230.26665751,-81.12737784647258
-26625397.985932358,-81.11856051801576
-26618565.705207203,-81.11040298459096
-26611733.424482044,-81.09420496334971
-26604901.143756893,-81.19882416863419
-26598068.863031734,-81.15009225976927
-26591236.582306575,-81.13614888140036
-26584404.301581424,-81.12359536980253
-26577572.020856265,-81.10130929326202
-26570739.74013111,-81.08662625793991
-26563907.45940595,-81.11426231143092
-26557075.1786808,-81.08461146862908
-26550242.89795564,-81.20718356328584
-26543410.617230482,-81.13902790279727
-26536578.33650533,-81.19490439495061
-26529746.055780172,-81.14657464770994
-26522913.775055017,-81.14510244063986
-26516081.494329862,-81.17996198183013
-26509249.213604707,-81.17347649013257
-26502416.93287955,-81.35542003716546
-26495584.652154397,-80.9601366062505
-26488752.37142924,-81.0400809715641
-26481920.09070408,-81.06736569211992
-26475087.80997893,-81.09601021673116
-26468255.52925377,-81.09122007261006
-26461423.248528615,-81.24074410842427
-26454590.967803463,-81.0595618592484
-26447758.687078305,-81.09584305854669
-26440926.406353146,-81.05684823358919
-26434094.125627995,-81.06598831375354
-26427261.844902836,-81.05406818252061
-26420429.564177677,-81.08670865287473
-26413597.283452526,-81.08148082972377
-26406765.00272737,-81.08356216704703
-26399932.722002212,-81.07328018058963
-26393100.44127706,-81.07373646955179
-26386268.160551902,-81.05069504186083
