FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-108.96404904769494
-27322290.61989825,-99.12034508969865
-27315458.339173097,-99.5665103664299
-27308626.058447942,-105.3049650223955
-27301793.777722783,-96.10351834016299
-27294961.496997632,-104.08627653922954
-27288129.216272473,-103.90222221528674
-27281296.935547315,-102.32577417227068
-27274464.654822163,-99.16709310068086
-27267632.374097005,-103.12401285121409
-27260800.09337185,-100.21876143501444
-27253967.812646694,-101.88790212265401
-27247135.53192154,-104.66526429461071
-27240303.25119638,-98.5811783663016
-27233470.97047123,-104.29983977776814
-27226638.68974607,-101.28636700374247
-27219806.409020912,-102.25036533814946
-27212974.12829576,-96.71269432603638
-27206141.8475706,-97.47874176322392
-27199309.566845447,-103.74502146448637
-27192477.286120296,-97.6572722335211
-27185645.005395137,-101.54326915935437
-27178812.724669978,-103.72014758812709
-27171980.443944827,-99.58709131173904
-27165148.163219668,-100.05584609472962
-27158315.88249451,-108.3997940401453
-27151483.601769358,-102.32988513485674
-27144651.321044203,-100.42731506093942
-27137819.040319044,-100.49851699225881
-27130986.759593893,-104.28832974990445
-27124154.478868734,-103.3892292071005
-27117322.198143575,-98.93721599219305
-27110489.917418424,-103.99324195542329
-27103657.636693265,-100.29981645885172
-27096825.35596811,-105.52961508498713
-27089993.075242955,-104.03962928882967
-27083160.7945178,-102.96364363077899
-27076328.51379264,-101.34717722163892
-27069496.233067483,-99.84547864334377
-27062663.95234233,-95.07116021802148
-27055831.671617173,-106.59472182740102
-27048999.390892018,-102.87970701490411
-27042167.110166863,-100.44214234288175
-27035334.829441708,-99.0122835347633
-27028502.54871655,-100.04646419393283
-27021670.267991398,-100.60701994857962
-27014837.98726624,-101.41777817568168
-27008005.70654108,-96.80304246010135
-27001173.42581593,-97.21258884427328
-26994341.14509077,-98.38558108560744
-26987508.864365615,-100.75763219568849
-26980676.583640464,-95.79286176231022
-26973844.302915305,-104.87418165059027
-26967012.022190146,-95.67071646417575
-26960179.741464995,-96.72248737964146
-26953347.460739836,-100.9643965066675
-26946515.18001468,-98.12403942174492
-26939682.899289526,-101.46781229163719
-26932850.61856437,-101.6562859414883
-26926018.337839212,-107.6306382998651
-26919186.05711406,-99.26831853325578
-26912353.776388902,-103.22690153377991
-26905521.495663743,-99.99352949370248
-26898689.214938592,-111.54631715074342
-26891856.934213433,-102.59729286839749
-26885024.65348828,-100.02596302217836
-26878192.372763123,-98.14365387567824
-26871360.09203797,-99.60145493058839
-26864527.81131281,-107.91047868632852
-26857695.53058766,-104.27874902721528
-26850863.2498625,-101.20478733559536
-26844030.96913734,-97.79165652213665
-26837198.68841219,-98.00137854508904
-26830366.40768703,-101.10794980287558
-26823534.126961876,-99.88674299359259
-26816701.846236717,-98.16398428921423
-26809869.565511566,-106.75705501220537
-26803037.284786407,-101.0047148921619
-26796205.00406125,-100.20565486293225
-26789372.723336097,-104.36578709403754
-26782540.44261094,-98.13709875445441
-26775708.161885783,-98.00745979577542
-26768875.88116063,-102.26525189513004
-26762043.600435473,-108.85691159200476
-26755211.319710314,-101.20197276583329
-26748379.038985163,-101.28682001113388
-26741546.758260004,-101.69335605266467
-26734714.47753485,-97.18549446718919
-26727882.196809694,-103.72110122669987
-26721049.91608454,-101.2202687537619
-26714217.63535938,-98.79655906539611
-26707385.35463423,-99.24381051462052
-26700553.07390907,-95.09091124713592
-26693720.79318391,-93.96512853456889
-26686888.51245876,-106.86660212706502
-26680056.2317336,-103.4282836196565
-26673223.951008447,-102.80499693014832
-26666391.67028329,-108.18512768982248
-26659559.389558136,-103.40190366996208
-26652727.108832978,-98.96068141184357
-26645894.828107826,-98.88077581239813
-26639062.547382668,-97.24339197537235
-26632230.26665751,-111.62770763680254
-26625397.985932358,-116.88866451634759
-26618565.705207203,-98.09362916380272
-26611733.424482044,-98.43024696587148
-26604901.143756893,-110.60852640655668
-26598068.863031734,-97.75008644719182
-26591236.582306575,-93.93122655307448
-26584404.301581424,-115.4690097458774
-26577572.020856265,-104.15348713976277
-26570739.74013111,-102.8236054025306
-26563907.45940595,-101.40002362321638
-26557075.1786808,-110.51522905476025
