FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-77.68272136374061
-27322290.61989825,-77.66524193144701
-27315458.339173097,-77.68742377435915
-27308626.058447942,-77.7113268182474
-27301793.777722783,-77.72327090001892
-27294961.496997632,-77.67730355939219
-27288129.216272473,-77.68283554437924
-27281296.935547315,-77.6767039022378
-27274464.654822163,-77.7074615253425
-27267632.374097005,-77.68228752302717
-27260800.09337185,-77.6601628992886
-27253967.812646694,-77.67803562604995
-27247135.53192154,-77.68444549316791
-27240303.25119638,-77.68401325703104
-27233470.97047123,-77.62206355488438
-27226638.68974607,-77.65887401711616
-27219806.409020912,-77.67658941525741
-27212974.12829576,-77.68305442750463
-27206141.8475706,-77.62847293509964
-27199309.566845447,-77.71721351378345
-27192477.286120296,-77.64760385320584
-27185645.005395137,-77.64368988944146
-27178812.724669978,-77.6586817554893
-27171980.443944827,-77.70885452441354
-27165148.163219668,-77.63930293717641
-27158315.88249451,-77.64482985580082
-27151483.601769358,-77.6591025047949
-27144651.321044203,-77.66870416618954
-27137819.040319044,-77.62331673053528
-27130986.759593893,-77.59752151748657
-27124154.478868734,-77.65029405241003
-27117322.198143575,-77.63138675954383
-27110489.917418424,-77.60502330787203
-27103657.636693265,-77.61849996541008
-27096825.35596811,-77.60991321849296
-27089993.075242955,-77.60279944106368
-27083160.7945178,-77.63438992965233
-27076328.51379264,-77.65058208403273
-27069496.233067483,-77.60264737851037
-27062663.95234233,-77.59316986950896
-27055831.671617173,-77.65354201654173
-27048999.390892018,-77.68087275521052
-27042167.110166863,-77.59715328537096
-27035334.829441708,-77.61439168693387
-27028502.54871655,-77.61103214963013
-27021670.267991398,-77.63584107174027
-27014837.98726624,-77.58631379598765
-27008005.70654108,-77.58333882611043
-27001173.42581593,-77.60707207180664
-26994341.14509077,-77.60578605583068
-26987508.864365615,-77.61356777455993
-26980676.583640464,-77.57214826179391
-26973844.302915305,-77.57794492906183
-26967012.022190146,-77.58990419758854
-26960179.741464995,-77.62832001187545
-26953347.460739836,-77.5770881937527
-26946515.18001468,-77.62235662184838
-26939682.899289526,-77.5923717884412
-26932850.61856437,-77.61638045709623
-26926018.337839212,-77.59992616093542
-26919186.05711406,-77.62941673775912
-26912353.776388902,-77.58451745161084
-26905521.495663743,-77.4888624908457
-26898689.214938592,-77.59720206513786
-26891856.934213433,-77.56425529319219
-26885024.65348828,-77.58206372746122
-26878192.372763123,-77.57313386041955
-26871360.09203797,-77.57975236208648
-26864527.81131281,-77.57173951868155
-26857695.53058766,-77.54378832565534
-26850863.2498625,-77.55748188852476
-26844030.96913734,-77.56091070606091
-26837198.68841219,-77.53111722295674
-26830366.40768703,-77.54932983594294
-26823534.126961876,-77.58829685879041
-26816701.846236717,-77.52897338177503
-26809869.565511566,-77.50415574296541
-26803037.284786407,-77.51862582204217
-26796205.00406125,-77.39851048535658
-26789372.723336097,-77.62903132524795
-26782540.44261094,-77.58328277881043
-26775708.161885783,-77.57383001141741
-26768875.88116063,-77.56607873701869
-26762043.600435473,-77.55312072268538
-26755211.319710314,-77.53289675373397
-26748379.038985163,-77.54052295180011
-26741546.758260004,-77.5345644241605
-26734714.47753485,-77.52816772903311
-26727882.196809694,-77.51590490277611
-26721049.91608454,-77.50563660190213
-26714217.63535938,-77.46414913964578
-26707385.35463423,-77.51645360738421
-26700553.07390907,-77.46488315407147
-26693720.79318391,-77.42351282369866
-26686888.51245876,-77.15956912580323
-26680056.2317336,-78.21292505609252
-26673223.951008447,-77.73955712717697
-26666391.67028329,-77.66411690675298
-26659559.389558136,-77.63372952405692
-26652727.108832978,-77.612924957042
-26645894.828107826,-77.6006681402591
-26639062.547382668,-77.58245672951136
-26632230.26665751,-77.58795155064051
