FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-76.12177843458169
-27322290.61989825,-75.92590629701736
-27315458.339173097,-76.02713969608635
-27308626.058447942,-76.12719816222635
-27301793.777722783,-75.81970496640176
-27294961.496997632,-76.02809223304966
-27288129.216272473,-76.39164222592287
-27281296.935547315,-76.21104952570892
-27274464.654822163,-76.3283389370313
-27267632.374097005,-76.30333308328673
-27260800.09337185,-76.13414427895826
-27253967.812646694,-75.84078892101081
-27247135.53192154,-76.19832814104933
-27240303.25119638,-75.88098257464031
-27233470.97047123,-76.2824420048691
-27226638.68974607,-76.30435552757768
-27219806.409020912,-76.25581450170972
-27212974.12829576,-76.41254870513025
-27206141.8475706,-76.08064262553867
-27199309.566845447,-75.90265511672393
-27192477.286120296,-76.55876041291305
-27185645.005395137,-76.33286925925668
-27178812.724669978,-76.32120598651464
-27171980.443944827,-75.75157385219627
-27165148.163219668,-76.06621926671028
-27158315.88249451,-76.2591992810311
-27151483.601769358,-76.11030316188837
-27144651.321044203,-76.11125770906415
-27137819.040319044,-76.14296209685415
-27130986.759593893,-76.34484005891629
-27124154.478868734,-76.12305601210464
-27117322.198143575,-76.12807710474004
-27110489.917418424,-75.92011741989703
-27103657.636693265,-76.0759689809913
-27096825.35596811,-76.03526144753965
-27089993.075242955,-76.10998504076056
-27083160.7945178,-76.08068078993861
-27076328.51379264,-76.02493559100418
-27069496.233067483,-76.3252422959469
-27062663.95234233,-76.07294558905087
-27055831.671617173,-76.30938032890978
-27048999.390892018,-76.07539705251477
-27042167.110166863,-76.43228366384055
-27035334.829441708,-76.36167663092469
-27028502.54871655,-76.12528631093687
-27021670.267991398,-76.13981029782299
-27014837.98726624,-76.31946453423839
-27008005.70654108,-75.96404889023249
-27001173.42581593,-76.1291131092646
-26994341.14509077,-76.27252233437646
-26987508.864365615,-76.09262252265496
-26980676.583640464,-76.23868586228964
-26973844.302915305,-76.04323960685002
-26967012.022190146,-76.06502389947565
-26960179.741464995,-76.1321597743518
-26953347.460739836,-76.14472981308398
-26946515.18001468,-76.01817244077905
-26939682.899289526,-76.01643616554153
-26932850.61856437,-76.46827705734187
-26926018.337839212,-76.27478436457505
-26919186.05711406,-76.32542959924461
-26912353.776388902,-76.1561218284558
-26905521.495663743,-76.16728600452015
-26898689.214938592,-76.28144175492761
-26891856.934213433,-76.06269916992855
-26885024.65348828,-76.22639283572698
-26878192.372763123,-75.98329296178593
-26871360.09203797,-76.10708159318895
-26864527.81131281,-76.46372756200095
-26857695.53058766,-76.45791791134926
-26850863.2498625,-76.34038582968688
-26844030.96913734,-76.08427510933737
-26837198.68841219,-75.99362640010558
-26830366.40768703,-76.1376262383738
-26823534.126961876,-76.25070424939403
-26816701.846236717,-76.04584026877647
-26809869.565511566,-75.98551468695024
-26803037.284786407,-76.12655487466401
-26796205.00406125,-76.2643824120748
-26789372.723336097,-76.2835234318034
-26782540.44261094,-76.08815270720564
-26775708.161885783,-76.11767507775062
-26768875.88116063,-76.6013549770512
