FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-75.67549644283682
-27322290.61989825,-75.67816646336226
-27315458.339173097,-75.68231546323592
-27308626.058447942,-75.65943179064237
-27301793.777722783,-75.64683977467179
-27294961.496997632,-75.67771218490516
-27288129.216272473,-75.68016333038283
-27281296.935547315,-75.6434710332387
-27274464.654822163,-75.66248712477501
-27267632.374097005,-75.68685711622356
-27260800.09337185,-75.62825434969598
-27253967.812646694,-75.6800676153368
-27247135.53192154,-75.64051470839637
-27240303.25119638,-75.64309050686177
-27233470.97047123,-75.62917381931382
-27226638.68974607,-75.65882723794222
-27219806.409020912,-75.66198568974886
-27212974.12829576,-75.65312088505934
-27206141.8475706,-75.64509014840856
-27199309.566845447,-75.65115278254424
-27192477.286120296,-75.66257091059933
-27185645.005395137,-75.66068807801783
-27178812.724669978,-75.65091606296646
-27171980.443944827,-75.65542368715525
-27165148.163219668,-75.66063715161434
-27158315.88249451,-75.63975215017078
-27151483.601769358,-75.66384083559423
-27144651.321044203,-75.6578163017342
-27137819.040319044,-75.66958770524174
-27130986.759593893,-75.64970578439629
-27124154.478868734,-75.63858910518101
-27117322.198143575,-75.6770275674993
-27110489.917418424,-75.66847052247327
-27103657.636693265,-75.68076727267398
-27096825.35596811,-75.67482476204208
-27089993.075242955,-75.69893782653287
-27083160.7945178,-75.66953871027624
-27076328.51379264,-75.69008029699833
-27069496.233067483,-75.71580353768205
-27062663.95234233,-75.7216345795421
-27055831.671617173,-75.69565309651126
-27048999.390892018,-75.75965476869301
-27042167.110166863,-75.77286773413513
-27035334.829441708,-75.81984125945473
-27028502.54871655,-75.85451043599792
-27021670.267991398,-75.94619923228234
-27014837.98726624,-76.20018766329218
-27008005.70654108,-77.1508850480346
-27001173.42581593,-72.69197163272496
-26994341.14509077,-74.82496354660947
-26987508.864365615,-75.15567037186737
-26980676.583640464,-75.28684499587422
-26973844.302915305,-75.33677183525405
-26967012.022190146,-75.38733974006044
-26960179.741464995,-75.43318124805128
-26953347.460739836,-75.44126746771019
-26946515.18001468,-75.47765812583609
-26939682.899289526,-75.49223377616347
-26932850.61856437,-75.47605144383613
-26926018.337839212,-75.47460726118342
-26919186.05711406,-75.48238439499569
-26912353.776388902,-75.48304651266899
-26905521.495663743,-75.51254254581626
-26898689.214938592,-75.48522435359357
-26891856.934213433,-75.50048384807451
-26885024.65348828,-75.50303285681045
-26878192.372763123,-75.51055723709862
-26871360.09203797,-75.51280931140727
-26864527.81131281,-75.51008055567786
-26857695.53058766,-75.52787995919306
-26850863.2498625,-75.50821855138227
-26844030.96913734,-75.51259041943781
-26837198.68841219,-75.52195797394536
-26830366.40768703,-75.53412526816858
-26823534.126961876,-75.5078462739731
-26816701.846236717,-75.50284609557423
-26809869.565511566,-75.51138715524633
-26803037.284786407,-75.52107931516372
-26796205.00406125,-75.48199925086425
-26789372.723336097,-75.5182926530893
-26782540.44261094,-75.52298981170354
-26775708.161885783,-75.49975091751375
-26768875.88116063,-75.51166958777274
-26762043.600435473,-75.52307530752059
-26755211.319710314,-75.54944643047503
-26748379.038985163,-75.48538348028137
-26741546.758260004,-75.50155047529563
-26734714.47753485,-75.51699999491554
-26727882.196809694,-75.51792605242117
-26721049.91608454,-75.51123232485259
-26714217.63535938,-75.53016032283828
-26707385.35463423,-75.48040183669866
-26700553.07390907,-75.47493847288963
-26693720.79318391,-75.49107151407435
-26686888.51245876,-75.46691347314838
-26680056.2317336,-75.50203111138974
-26673223.951008447,-75.50976870322185
-26666391.67028329,-75.461209549351
-26659559.389558136,-75.50463812636886
-26652727.108832978,-75.38850237443529
-26645894.828107826,-75.47376173479981
-26639062.547382668,-75.48320807294031
-26632230.26665751,-75.51036257444538
-26625397.985932358,-75.50098188877543
-26618565.705207203,-75.49562432392024
-26611733.424482044,-75.49474095729434
-26604901.143756893,-75.47886407463423
-26598068.863031734,-75.51394545286651
-26591236.582306575,-75.48138273777934
-26584404.301581424,-75.47767385501005
-26577572.020856265,-75.49432704619313
-26570739.74013111,-75.47820462284595
-26563907.45940595,-75.47871832281687
-26557075.1786808,-75.47811190849151
-26550242.89795564,-75.49005286708845
-26543410.617230482,-75.4839804649083
-26536578.33650533,-75.4555924553257
-26529746.055780172,-75.45592706702087
-26522913.775055017,-75.49827831220472
-26516081.494329862,-75.47341120401852
-26509249.213604707,-75.46871939759458
-26502416.93287955,-75.46487687390658
-26495584.652154397,-75.50337373897533
-26488752.37142924,-75.42171990493082
-26481920.09070408,-75.44897198326703
-26475087.80997893,-75.46799698403296
-26468255.52925377,-75.48124447852797
-26461423.248528615,-75.47682668067672
-26454590.967803463,-75.39233632702478
-26447758.687078305,-75.48363163107175
-26440926.406353146,-75.53925678606562
-26434094.125627995,-75.32930770303413
-26427261.844902836,-75.36360586561744
-26420429.564177677,-75.43269398554412
-26413597.283452526,-75.22872377921163
-26406765.00272737,-71.70021239242459
-26399932.722002212,-75.97395659853242
-26393100.44127706,-75.44436622352039
-26386268.160551902,-75.51654408467554
-26379435.879826743,-75.50812199248281
-26372603.59910159,-75.42144614134104
-26365771.318376433,-75.41632405124213
-26358939.037651278,-75.44720279091473
-26352106.756926123,-75.12849189500312
-26345274.476200968,-75.50033435308437
-26338442.19547581,-75.4559716382596
-26331609.914750654,-75.4620951236407
-26324777.6340255,-75.4742227797895
-26317945.35330034,-75.43640642581249
-26311113.072575185,-75.44095080375617
-26304280.79185003,-75.41578954471511
-26297448.511124875,-75.45114052766883
-26290616.23039972,-75.43490820136003
-26283783.949674565,-75.46354117472373
-26276951.668949407,-75.45430592486868
-26270119.38822425,-75.43584276977863
-26263287.107499097,-75.44899913898776
-26256454.826773938,-75.43578713982448
-26249622.546048786,-75.45924827764965
-26242790.265323628,-75.45338527497933
-26235957.984598473,-75.43122090625035
-26229125.703873318,-75.41254932779847
-26222293.42314816,-75.42637012180509
-26215461.142423004,-75.42918197002413
-26208628.86169785,-75.4334745866433
-26201796.580972694,-75.42854503600057
-26194964.30024754,-75.43202487603466
-26188132.019522384,-75.4099049600531
-26181299.738797225,-75.41820192648244
-26174467.45807207,-75.43784783957237
-26167635.177346915,-75.4328862172311
-26160802.896621756,-75.44814299706884
-26153970.6158966,-75.40190941487742
-26147138.335171446,-75.43883090156226
-26140306.05444629,-75.40813554796264
-26133473.773721136,-75.41348997573704
-26126641.49299598,-75.40308571800806
-26119809.212270822,-75.38292165748337
-26112976.931545667,-75.34310306198016
-26106144.65082051,-75.32100995645152
-26099312.370095354,-75.36859229002567
-26092480.0893702,-75.39163339420058
-26085647.808645044,-75.41116521782473
-26078815.52791989,-75.38389827910405
-26071983.247194733,-75.3758305330737
-26065150.966469575,-75.38594750919677
-26058318.68574442,-75.3180549961778
-26051486.405019265,-75.45702129318424
-26044654.124294106,-75.43890309709414
-26037821.843568955,-75.41961833833562
-26030989.5628438,-75.39903405505285
-26024157.28211864,-75.39461813333216
-26017325.001393486,-75.39541704594419
-26010492.72066833,-75.39909638755526
-26003660.439943172,-75.4580611248553
-25996828.159218017,-75.36152300335574
-25989995.878492862,-75.36568961718069
-25983163.597767707,-75.37564619016115
-25976331.317042552,-75.37807946752706
-25969499.036317393,-75.36540449934944
-25962666.75559224,-75.37064439596051
-25955834.474867083,-75.38270976098038
-25949002.194141924,-75.35842945440456
-25942169.91341677,-75.35014340589339
-25935337.632691614,-75.38124139720405
-25928505.35196646,-75.37961673615261
-25921673.071241304,-75.35080687909256
-25914840.79051615,-75.36674748904412
-25908008.50979099,-75.35366999575675
-25901176.229065835,-75.35971250526725
-25894343.94834068,-75.32947007026077
-25887511.66761552,-75.36150628085126
-25880679.386890367,-75.35100359515899
-25873847.106165215,-75.33860529278591
-25867014.825440057,-75.34309844781204
-25860182.5447149,-75.32208821214054
-25853350.263989743,-75.34149673324619
-25846517.983264588,-75.3167058506823
-25839685.702539433,-75.30125620820496
-25832853.421814278,-75.29347726272374
-25826021.141089123,-75.305517464311
-25819188.860363968,-75.24204738904328
-25812356.57963881,-75.05969289476164
-25805524.298913654,-75.46486200183557
-25798692.0181885,-75.40011673359768
-25791859.73746334,-75.34635648890387
-25785027.456738185,-75.32006687058634
-25778195.17601303,-75.31303502423737
-25771362.895287875,-75.2650553779725
-25764530.61456272,-75.2053133408919
-25757698.333837565,-74.99726666626383
-25750866.053112406,-75.69240272478186
-25744033.77238725,-75.43358054546162
-25737201.491662093,-75.40794102050124
-25730369.210936937,-75.40112805097426
-25723536.930211782,-75.37263699769505
-25716704.649486627,-75.37849646657017
-25709872.368761472,-75.35623722703508
-25703040.088036317,-75.33434280369052
-25696207.80731116,-75.34518209132028
-25689375.526586004,-75.36354207496687
-25682543.24586085,-75.33079714797233
-25675710.96513569,-75.3354860394841
-25668878.68441054,-75.34582625271942
-25662046.403685383,-75.31356118792783
-25655214.122960225,-75.33861214423163
-25648381.84223507,-75.3302266240099
-25641549.561509915,-75.32035916099068
-25634717.280784756,-75.29955571413298
-25627885.0000596,-75.32653614702339
-25621052.719334446,-75.33254734836868
-25614220.43860929,-75.30819865579421
-25607388.157884136,-75.31649489855094
-25600555.877158977,-75.3121112458753
-25593723.596433822,-75.31882003999546
-25586891.315708667,-75.31233575330963
-25580059.03498351,-75.31466404559258
-25573226.754258353,-75.30888883630341
-25566394.4735332,-75.30367804048353
-25559562.192808043,-75.29317068363272
-25552729.91208289,-75.3124590638729
-25545897.631357733,-75.29450935039858
-25539065.350632574,-75.30648081730686
-25532233.06990742,-75.29111114444393
-25525400.789182264,-75.2723197366086
-25518568.508457106,-75.28864486373577
-25511736.22773195,-75.30569765633108
-25504903.9470068,-75.31673471660486
-25498071.66628164,-75.28665907029732
-25491239.385556486,-75.30606926657792
-25484407.10483133,-75.28264328528444
-25477574.82410617,-75.28147312289391
-25470742.543381017,-75.30391522257469
-25463910.26265586,-75.30011678765796
-25457077.981930707,-75.26718042146045
-25450245.70120555,-75.275346528784
-25443413.420480393,-75.27604720447131
-25436581.139755238,-75.27648312763692
-25429748.859030083,-75.26514331939848
-25422916.578304924,-75.26288212740566
-25416084.29757977,-75.26303638117898
-25409252.016854614,-75.2860747810886
-25402419.73612946,-75.21264110887
-25395587.455404304,-75.23071065971506
-25388755.17467915,-75.2533466153067
-25381922.89395399,-75.27020912122084
-25375090.613228835,-75.2509942803267
-25368258.33250368,-75.25144129952145
-25361426.05177852,-75.28084652774587
-25354593.771053366,-75.24138756416957
-25347761.49032821,-75.26775512450845
-25340929.209603056,-75.26342573293726
-25334096.9288779,-75.25206449554885
-25327264.648152743,-75.23682853907611
-25320432.367427588,-75.24047305404073
-25313600.086702432,-75.24021522766407
-25306767.805977274,-75.25620114351415
-25299935.525252122,-75.23538303731353
-25293103.244526967,-75.24387584513184
-25286270.96380181,-75.23324110338132
-25279438.683076654,-75.24181753816494
-25272606.4023515,-75.24403003263174
-25265774.12162634,-75.24095410874688
-25258941.840901185,-75.24971777373888
-25252109.56017603,-75.2321958888231
-25245277.279450875,-75.23619746223218
-25238444.99872572,-75.23490885259926
-25231612.718000565,-75.24890145028658
-25224780.437275406,-75.24769991635176
-25217948.15655025,-75.22121831603349
-25211115.875825092,-75.12028533378054
-25204283.595099937,-75.19516472094794
-25197451.314374782,-75.18098966342703
-25190619.033649627,-75.21432706385237
-25183786.752924472,-75.22330996284039
-25176954.472199317,-75.18712283797022
-25170122.19147416,-75.20573510684864
-25163289.910749003,-75.21098857472738
-25156457.63002385,-75.23808355852817
-25149625.34929869,-75.16146241457784
-25142793.068573534,-75.20276307505183
-25135960.787848383,-75.20122981423414
-25129128.507123224,-75.20774465957558
-25122296.22639807,-75.20654687002478
-25115463.945672914,-75.20721582564676
-25108631.664947756,-75.22624732097051
-25101799.3842226,-75.03454415247695
-25094967.10349744,-75.17382671975696
-25088134.82277229,-75.15936071372268
-25081302.542047136,-75.17701683204879
-25074470.261321977,-75.17561176965553
-25067637.98059682,-75.15430968464385
-25060805.699871667,-75.17745982322093
-25053973.419146508,-75.1333952105971
-25047141.138421353,-75.15980392704739
-25040308.857696198,-75.16370291720969
-25033476.576971043,-75.1891976860681
-25026644.296245888,-75.17635551099036
-25019812.015520733,-75.17052597078525
-25012979.734795574,-75.17790832738258
-25006147.45407042,-75.15097930796485
-24999315.173345264,-75.17496608601752
-24992482.892620105,-75.16138563343124
-24985650.61189495,-75.15964501788761
-24978818.331169795,-75.14957517128393
-24971986.05044464,-75.14828670064718
-24965153.769719485,-75.14754386261333
-24958321.488994326,-75.14103422648908
-24951489.20826917,-75.14667436089584
-24944656.927544016,-75.14650469908902
-24937824.646818858,-75.13782080870297
-24930992.366093703,-75.14257284127612
-24924160.08536855,-75.16625313823823
-24917327.804643393,-75.14235573353349
-24910495.523918238,-75.14528295022917
-24903663.243193083,-75.1349931110738
-24896830.962467924,-75.16120123418321
-24889998.68174277,-75.12026298206732
-24883166.401017614,-75.1313728231038
-24876334.12029246,-75.13813391426064
-24869501.839567304,-75.11156277860911
-24862669.55884215,-75.10787657314651
-24855837.27811699,-75.11429047621908
-24849004.997391835,-75.14585408353372
-24842172.71666668,-75.12253508497142
-24835340.43594152,-75.11216220245913
-24828508.155216366,-75.11351318638194
-24821675.87449121,-75.10684347694699
-24814843.593766056,-75.09611478449816
-24808011.3130409,-74.9157885949773
-24801179.032315742,-75.19626593640312
-24794346.751590587,-75.15746186013993
-24787514.470865432,-75.15255019272075
-24780682.190140273,-75.1129307101222
-24773849.90941512,-75.14155724361258
-24767017.628689967,-75.15347464415672
-24760185.34796481,-75.09971082200236
-24753353.067239653,-75.33527494571806
-24746520.7865145,-75.05359417260098
-24739688.50578934,-75.06862056485664
-24732856.225064185,-75.07160814450005
-24726023.94433903,-75.08661825026269
-24719191.663613874,-75.07405284218275
-24712359.38288872,-75.07811000694494
-24705527.10216356,-75.08580870298655
-24698694.821438406,-75.07543318355482
-24691862.54071325,-75.08628839076793
-24685030.259988092,-75.09357677541081
-24678197.979262937,-75.0928324056593
-24671365.69853778,-75.08193407965788
-24664533.417812627,-75.09036469282029
-24657701.13708747,-75.0785697041153
-24650868.856362317,-75.0948539005553
-24644036.575637158,-75.06808617381155
