FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-140.4051206544893
-27322290.61989825,-140.41496700338723
-27315458.339173097,-140.38653296398272
-27308626.058447942,-142.2887325310599
-27301793.777722783,-141.01960466585294
-27294961.496997632,-140.8064383479532
-27288129.216272473,-139.72285055879757
-27281296.935547315,-135.97870391386027
-27274464.654822163,-125.52108309304106
-27267632.374097005,-123.35218585858918
-27260800.09337185,-131.18173822530804
-27253967.812646694,-134.0755047281512
-27247135.53192154,-135.73925553043185
-27240303.25119638,-137.00349794332175
-27233470.97047123,-140.5709109679001
-27226638.68974607,-137.78910036993415
-27219806.409020912,-138.72311520456353
-27212974.12829576,-139.4709373040544
-27206141.8475706,-140.18503021552416
-27199309.566845447,-140.8922913970146
-27192477.286120296,-141.61983938705373
-27185645.005395137,-142.32206034932724
-27178812.724669978,-142.89324712558022
-27171980.443944827,-143.20393137426038
-27165148.163219668,-143.0095669137613
-27158315.88249451,-141.67707741407702
-27151483.601769358,-142.8040730167594
-27144651.321044203,-140.33264504884423
-27137819.040319044,-138.13399211281427
-27130986.759593893,-135.54474942662185
-27124154.478868734,-131.7684516950174
-27117322.198143575,-118.63716181082403
-27110489.917418424,-141.2529521871339
-27103657.636693265,-140.05135323238292
-27096825.35596811,-135.53708903984884
-27089993.075242955,-132.89670499178692
-27083160.7945178,-130.8391822393967
-27076328.51379264,-128.7035272138608
-27069496.233067483,-127.22301893100136
-27062663.95234233,-125.55279032725998
-27055831.671617173,-123.88787450576024
-27048999.390892018,-122.25889116955464
-27042167.110166863,-121.24655247698033
-27035334.829441708,-116.28798661837719
-27028502.54871655,-114.83280367670147
-27021670.267991398,-112.12312572731093
-27014837.98726624,-108.4335351914678
-27008005.70654108,-102.70663475959068
-27001173.42581593,-86.47418705744904
-26994341.14509077,-98.42948142364057
-26987508.864365615,-105.01457121922732
-26980676.583640464,-108.42868323917202
-26973844.302915305,-110.66668557977343
-26967012.022190146,-112.26130313160323
-26960179.741464995,-114.05750109378215
-26953347.460739836,-114.68072817241944
-26946515.18001468,-115.48000601019552
-26939682.899289526,-116.15764767137682
-26932850.61856437,-116.72670901252246
-26926018.337839212,-117.17406477628737
-26919186.05711406,-117.74539799461878
-26912353.776388902,-118.03820914930421
-26905521.495663743,-118.307753607995
-26898689.214938592,-118.48964711145189
-26891856.934213433,-118.4594398947927
-26885024.65348828,-116.14400398956946
-26878192.372763123,-120.64980959112965
-26871360.09203797,-120.17079157323482
-26864527.81131281,-120.11687473519115
-26857695.53058766,-120.07771053455578
-26850863.2498625,-119.79414062405834
-26844030.96913734,-127.06494565664123
-26837198.68841219,-121.29426727356207
-26830366.40768703,-121.10755464539567
-26823534.126961876,-121.0939527394533
-26816701.846236717,-121.12373384115442
-26809869.565511566,-121.17834044199054
-26803037.284786407,-121.17491542623958
-26796205.00406125,-121.23541033786833
-26789372.723336097,-121.27836446817271
-26782540.44261094,-121.31309920073508
