FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-79.53049746182016
-27322290.61989825,-79.29199755512865
-27315458.339173097,-79.50692107992131
-27308626.058447942,-79.65119744659732
-27301793.777722783,-80.20537956691055
-27294961.496997632,-79.69104505013314
-27288129.216272473,-79.77447923523759
-27281296.935547315,-79.88314634830147
-27274464.654822163,-80.13318702459911
-27267632.374097005,-80.11758581726713
-27260800.09337185,-79.60814658701206
-27253967.812646694,-79.67477009984334
-27247135.53192154,-80.39212262786741
-27240303.25119638,-79.16875702015444
-27233470.97047123,-80.13313079862468
-27226638.68974607,-80.18310855673295
-27219806.409020912,-79.22827420377426
-27212974.12829576,-79.7479641869184
-27206141.8475706,-80.42249743384613
-27199309.566845447,-79.97250715034812
-27192477.286120296,-80.08478649126097
-27185645.005395137,-79.56682112816652
-27178812.724669978,-79.39200954183798
-27171980.443944827,-79.64032982286696
-27165148.163219668,-80.4136007160765
-27158315.88249451,-79.65167622275675
-27151483.601769358,-80.08855121370097
-27144651.321044203,-79.89665704281136
-27137819.040319044,-80.65069381989927
-27130986.759593893,-79.67990866827687
-27124154.478868734,-79.2433599473654
-27117322.198143575,-79.62939570055795
-27110489.917418424,-80.2929508344743
-27103657.636693265,-79.24263793881818
-27096825.35596811,-79.69220481492114
-27089993.075242955,-79.27192551359225
-27083160.7945178,-79.88048688622021
-27076328.51379264,-79.9170900092185
-27069496.233067483,-79.34346427599127
-27062663.95234233,-80.09920635963755
-27055831.671617173,-79.84219383590725
-27048999.390892018,-80.34913364128741
-27042167.110166863,-80.26387028229321
-27035334.829441708,-79.65863619786688
-27028502.54871655,-80.21024336149162
-27021670.267991398,-80.48225959909547
-27014837.98726624,-80.14868536769264
-27008005.70654108,-79.82597542780022
-27001173.42581593,-79.4027304232049
-26994341.14509077,-79.53989911343997
-26987508.864365615,-79.23454626360129
-26980676.583640464,-79.15772123715966
-26973844.302915305,-80.11402308958546
-26967012.022190146,-79.45602487626982
-26960179.741464995,-79.46036053433441
-26953347.460739836,-79.65248927985022
-26946515.18001468,-80.36283125440096
-26939682.899289526,-79.8917599867033
-26932850.61856437,-79.45521423499856
-26926018.337839212,-79.3087468072064
-26919186.05711406,-79.19689914538891
-26912353.776388902,-79.71258098930953
-26905521.495663743,-79.73172744597652
-26898689.214938592,-79.57720042418505
-26891856.934213433,-79.50257734421778
-26885024.65348828,-80.78988321921939
-26878192.372763123,-80.8341368095355
-26871360.09203797,-79.17695588001891
-26864527.81131281,-78.87382941505552
-26857695.53058766,-79.70695583665508
-26850863.2498625,-80.16459939668724
-26844030.96913734,-80.05633057721555
-26837198.68841219,-79.65734357849384
-26830366.40768703,-79.20899802885981
-26823534.126961876,-79.94328377403858
-26816701.846236717,-78.70778818550954
-26809869.565511566,-80.3430770965135
-26803037.284786407,-80.77113373629025
-26796205.00406125,-79.2853033234704
-26789372.723336097,-79.32389920543075
-26782540.44261094,-79.32873875064007
-26775708.161885783,-79.68994938459056
-26768875.88116063,-80.44147735525742
-26762043.600435473,-79.51108050657535
-26755211.319710314,-80.99716728555408
-26748379.038985163,-79.20036356056924
