set_back_attenuation_db,measured_attenuation_db
0.0,-4.445061496612844
1.0,-5.55285020748525
2.0,-6.560652199632528
3.0,-7.543209765700098
4.0,-8.558895750083572
5.0,-9.567408994604833
6.0,-10.58776059930736
7.0,-11.58926183484774
8.0,-12.85330371929014
9.0,-13.879392032846106
10.0,-14.806799648650156
11.0,-15.766942241949836
12.0,-16.937987698231346
13.0,-17.924409952308764
14.0,-18.90431420062045
15.0,-19.89790642985204
16.0,-21.11855069558841
17.0,-22.142055153950864
18.0,-23.25624746071208
19.0,-24.289631517529543
20.0,-25.20979964262886
