set_back_attenuation_db,measured_attenuation_db
0.0,-2.886274759110755
1.0,-3.993921950226692
2.0,-5.00664897566341
3.0,-5.995379427016644
4.0,-6.984833095634691
5.0,-7.963890018562104
6.0,-8.978017390526155
7.0,-9.988052048690236
8.0,-11.240121019234609
9.0,-12.285201899996288
10.0,-13.228695937661378
11.0,-14.204990942828054
12.0,-15.383840061219637
13.0,-16.37697080735191
14.0,-17.350425211734233
15.0,-18.33269867171019
16.0,-19.555323216575303
17.0,-20.587860871267885
18.0,-21.67782234165489
19.0,-22.704376739461857
20.0,-23.632377623273683
