time,alpha_2_real,alpha_2_imag
0.00022990804827609197,-25266009.956182588,-22077365.255386233
0.00023002300230023,-25259312.23740748,-22070531.38492114
0.00023013795632436805,-25274667.615258496,-22086202.63620833
0.0002302529103485061,-25263869.375928797,-22075179.065540656
0.00023036786437264414,-25276166.506540436,-22087728.861653768
0.00023048281839678218,-25261989.696443163,-22073257.71157694
0.00023059777242092025,-25267128.555316586,-22078501.162739474
0.0002307127264450583,-25253572.76989378,-22064665.637291424
0.00023082768046919633,-25253616.57376749,-22064708.345114667
0.00023094263449333438,-25245634.621661913,-22056563.020618502
0.00023105758851747242,-25248529.48205797,-22059515.643540114
0.00023117254254161046,-25252531.04475028,-22063600.216661543
0.0002312874965657485,-25255775.28148547,-22066910.309428047
0.00023140245058988655,-25274401.15063577,-22085923.754500218
0.00023151740461402462,-25263350.353956576,-22074648.03625335
0.00023163235863816266,-25270990.926340096,-22082445.3413918
0.0002317473126623007,-25266581.51300612,-22077944.83259157
0.00023186226668643874,-25262450.195972066,-22073734.668271165
0.0002319772207105768,-25267819.71168625,-22079212.7377552
0.00023209217473471483,-25253778.53787038,-22064881.25266044
0.00023220712875885287,-25255086.436399154,-22066213.25303851
0.00023232208278299094,-25245880.100581747,-22056817.502397556
0.00023243703680712898,-25248788.016497944,-22059782.7160048
0.00023255199083126703,-25252409.32227531,-22063478.70074857
0.00023266694485540507,-25255446.55589832,-22066577.016358856
0.0002327818988795431,-25263278.2410185,-22074568.972638953
0.00023289685290368115,-25264301.720755044,-22075613.474350035
0.0002330118069278192,-25266891.834082957,-22078254.969521396
0.00023312676095195724,-25268101.60528751,-22079490.734880332
0.0002332417149760953,-25259772.541065075,-22070987.768625803
0.00023335666900023335,-25264314.57681516,-22075625.030456044
0.0002334716230243714,-25246871.7538444,-22057821.15294676
0.00023358657704850944,-25242820.21666187,-22053694.6429832
0.00023370153107264748,-25252167.361950193,-22063233.071427364
0.00023381648509678552,-25243692.32827812,-22054584.592189595
0.00023393143912092356,-25251943.772157438,-22063011.847247887
0.0002340463931450616,-25255021.396093927,-22066150.465239108
0.00023416134716919968,-25262850.968127023,-22074139.462608095
0.00023427630119333772,-25263400.183975317,-22074699.18417003
0.00023439125521747576,-25266474.1106098,-22077833.36311345
0.0002345062092416138,-25267867.091482725,-22079255.547986947
0.00023462116326575185,-25259197.843584172,-22070404.527335647
0.0002347361172898899,-25264740.23255783,-22076062.42876356
0.00023485107131402793,-25245335.935475435,-22056255.713625994
0.00023496602533816597,-25256313.74327624,-22067461.11317256
0.00023508097936230404,-25238905.519704778,-22049692.723127685
0.00023519593338644208,-25250203.443510614,-22061224.449524075
0.00023531088741058013,-25250854.60441958,-22061888.48006112
0.00023542584143471817,-25260567.34659787,-22071806.666341975
0.0002355407954588562,-25258856.240452807,-22070061.082462367
0.00023565574948299425,-25278324.237408478,-22089932.06777938
0.0002357707035071323,-25264635.711522203,-22075963.611521125
0.00023588565753127037,-25268175.659129154,-22079576.88210037
0.0002360006115554084,-25258118.74869491,-22069308.677791502
0.00023611556557954645,-25265106.393181127,-22076441.23140124
0.0002362305196036845,-25244619.05719412,-22055528.09797175
0.00023634547362782254,-25257255.3055655,-22068425.62709237
0.00023646042765196058,-25238144.64720805,-22048919.01246437
0.00023657538167609862,-25250787.807025466,-22061823.31490035
0.00023669033570023666,-25250645.439362936,-22061677.016998198
0.00023680528972437473,-25255258.900958907,-22066385.11778551
0.00023692024374851278,-25266570.4160614,-22077929.691064596
0.00023703519777265082,-25262606.631113634,-22073882.945665505
0.00023715015179678886,-25275146.219366696,-22086681.290785268
0.0002372651058209269,-25264843.64660178,-22076165.138441816
0.00023738005984506495,-25272291.096807502,-22083766.042835683
0.000237495013869203,-25247908.84100056,-22058882.82192551
0.00023760996789334103,-25259040.721886866,-22070249.10601972
0.0002377249219174791,-25247840.392903943,-22058815.17725074
0.00023783987594161714,-25237099.696090136,-22047860.540592477
0.00023795482996575519,-25251281.630703036,-22062335.072949555
0.00023806978398989323,-25250277.75172026,-22061308.90093481
0.00023818473801403127,-25254900.007088542,-22066025.13642815
0.0002382996920381693,-25266362.612478737,-22077723.039316457
0.00023841464606230736,-25261962.41661633,-22073229.950441528
0.0002385296000864454,-25275782.48406619,-22087334.65805995
0.00023864455411058347,-25264420.402048834,-22075736.392275758
0.0002387595081347215,-25273270.291503355,-22084768.236094825
0.00023887446215885955,-25259452.967354074,-22070665.21848082
0.0002389894161829976,-25261480.031395704,-22072732.85424552
0.00023910437020713564,-25249796.073908027,-22060808.761607762
0.00023921932423127368,-25249480.750233326,-22060485.292960927
0.00023933427825541172,-25243212.706572212,-22054092.537284523
0.0002394492322795498,-25251321.14695399,-22062371.88562962
0.00023956418630368783,-25255286.135765657,-22066416.408277307
0.00023967914032782588,-25271055.67342642,-22082514.868397202
0.00023979409435196392,-25261467.668778535,-22072731.821333524
0.00023990904837610196,-25276991.86292819,-22088575.290031504
0.00024002400240024,-25263854.35709877,-22075164.150600575
0.00024013895642437805,-25274464.319623724,-22085991.69605617
0.0002402539104485161,-25259505.025261544,-22070722.205418672
0.00024036886447265416,-25262577.03026142,-22073855.748651482
0.0002404838184967922,-25250102.060342904,-22061123.778878566
0.00024059877252093024,-25250221.738854125,-22061243.700408913
0.0002407137265450683,-25246643.337799396,-22057592.598454278
0.00024082868056920633,-25250328.548330706,-22061351.958612412
0.00024094363459334437,-25256771.95783338,-22067928.179651495
0.00024105858861748241,-25259190.94960831,-22070396.382092156
0.00024117354264162046,-25265963.281904805,-22077307.17362769
