FFT Frequency [Hz],FFT Magnitude
-27329122.900623407,-82.86645803867873
-27322290.61989825,-82.53913758261564
-27315458.339173097,-83.4953332830004
-27308626.058447942,-83.37171978141907
-27301793.777722783,-82.68226033841528
-27294961.496997632,-82.86812829333454
-27288129.216272473,-83.0067762489331
-27281296.935547315,-83.08035134656593
-27274464.654822163,-83.36010270920954
-27267632.374097005,-83.50022290206716
-27260800.09337185,-83.60142903825592
-27253967.812646694,-83.45262271096368
-27247135.53192154,-83.36180303459852
-27240303.25119638,-82.75632800872464
-27233470.97047123,-82.80626555416417
-27226638.68974607,-82.81223275525156
-27219806.409020912,-83.12258384773828
-27212974.12829576,-82.98312645648824
-27206141.8475706,-83.18942643976342
-27199309.566845447,-82.9071942700082
-27192477.286120296,-83.03146924828867
-27185645.005395137,-82.79046014985067
-27178812.724669978,-83.09353941962516
-27171980.443944827,-83.30458871329013
-27165148.163219668,-82.97023664248286
-27158315.88249451,-82.8887508165617
-27151483.601769358,-83.22309342049864
-27144651.321044203,-83.30345536835345
-27137819.040319044,-82.44070805120859
-27130986.759593893,-83.27345298728297
-27124154.478868734,-83.55258244097274
-27117322.198143575,-82.72404019899557
-27110489.917418424,-83.3415028657279
-27103657.636693265,-82.82163644727254
-27096825.35596811,-82.4317279746752
-27089993.075242955,-83.25386457800488
-27083160.7945178,-83.28205449065356
-27076328.51379264,-83.42873244791689
-27069496.233067483,-82.39576969372825
-27062663.95234233,-83.5626877910466
-27055831.671617173,-83.3972017164034
-27048999.390892018,-82.91163943995194
-27042167.110166863,-82.92379116733383
-27035334.829441708,-83.0122232359949
-27028502.54871655,-82.84670366370699
-27021670.267991398,-82.71246787209982
-27014837.98726624,-82.7509929692033
-27008005.70654108,-82.49722027058232
-27001173.42581593,-82.76740926263872
-26994341.14509077,-83.03748533843094
-26987508.864365615,-83.28040137154431
-26980676.583640464,-83.32230379886866
-26973844.302915305,-82.63401894705319
-26967012.022190146,-83.36842470673852
-26960179.741464995,-82.88892909157084
-26953347.460739836,-82.72534435601486
-26946515.18001468,-82.56434596685943
-26939682.899289526,-82.97516325105113
-26932850.61856437,-82.26771300653083
-26926018.337839212,-82.92269022647078
-26919186.05711406,-83.168628744138
-26912353.776388902,-82.76566460377114
-26905521.495663743,-82.47926821523016
-26898689.214938592,-83.47413541456814
-26891856.934213433,-82.70645608164827
-26885024.65348828,-83.30425218443062
-26878192.372763123,-82.36147076065197
-26871360.09203797,-84.25345908136995
-26864527.81131281,-82.55342137214969
-26857695.53058766,-82.50771978344571
-26850863.2498625,-83.43973564872027
-26844030.96913734,-82.56078612500433
-26837198.68841219,-82.70149682741626
-26830366.40768703,-82.83793343867208
-26823534.126961876,-82.45931443732714
-26816701.846236717,-83.27104979402509
-26809869.565511566,-82.90214331966133
-26803037.284786407,-82.89558393683149
-26796205.00406125,-82.91586816571069
-26789372.723336097,-82.91219850914834
-26782540.44261094,-82.12613761916163
-26775708.161885783,-82.60816643163656
-26768875.88116063,-82.2415407443009
-26762043.600435473,-82.21807770391212
-26755211.319710314,-82.90878562880269
-26748379.038985163,-83.12211842859472
-26741546.758260004,-83.17371302875637
-26734714.47753485,-83.99833742234735
-26727882.196809694,-82.64286045178439
-26721049.91608454,-83.43123941708241
-26714217.63535938,-82.68069871207607
