FFT Frequency [Hz],FFT Magnitude
-26878192.372763123,-77.77691921442151
-26871360.09203797,-77.78140088855042
-26864527.81131281,-77.78271395599549
-26857695.53058766,-77.78237873198529
-26850863.2498625,-77.78063395350844
-26844030.96913734,-77.7776276311112
-26837198.68841219,-77.77413143500583
-26830366.40768703,-77.76935920806729
-26823534.126961876,-77.7620449837971
-26816701.846236717,-77.759154034727
-26809869.565511566,-77.74917158338792
-26803037.284786407,-77.73886617367421
-26796205.00406125,-77.72495649600197
-26789372.723336097,-77.70668193403809
-26782540.44261094,-77.68089131366213
-26775708.161885783,-77.64173412185413
-26768875.88116063,-77.5742642509455
-26762043.600435473,-77.42825386738494
-26755211.319710314,-76.86181860192114
-26748379.038985163,-79.8759926506804
-26741546.758260004,-78.31647459544092
-26734714.47753485,-78.0918455342103
-26727882.196809694,-78.00641389964144
-26721049.91608454,-77.95940017796465
-26714217.63535938,-77.92948055217185
-26707385.35463423,-77.90812375660393
-26700553.07390907,-77.89200735608341
-26693720.79318391,-77.87979589476406
-26686888.51245876,-77.86905064046672
-26680056.2317336,-77.8622579344489
-26673223.951008447,-77.85537093361569
-26666391.67028329,-77.83762768472292
-26659559.389558136,-77.83644075307627
-26652727.108832978,-77.83110662320509
-26645894.828107826,-77.82593353884691
-26639062.547382668,-77.82022155003476
-26632230.26665751,-77.8148212429015
-26625397.985932358,-77.80924231221049
-26618565.705207203,-77.80424542579426
-26611733.424482044,-77.79721874627971
-26604901.143756893,-77.7935589611927
-26598068.863031734,-77.77632871909287
-26591236.582306575,-77.77772155132588
-26584404.301581424,-77.77052671914052
-26577572.020856265,-77.76113242269652
-26570739.74013111,-77.75117540931944
-26563907.45940595,-77.73779670795089
-26557075.1786808,-77.72120896073794
-26550242.89795564,-77.69834009831739
-26543410.617230482,-77.66493661577971
-26536578.33650533,-77.61062402750059
-26529746.055780172,-77.49394203085103
-26522913.775055017,-77.15447065812035
-26516081.494329862,-82.68858619924877
-26509249.213604707,-78.34671349003288
-26502416.93287955,-78.09362048525233
-26495584.652154397,-77.99840859331827
-26488752.37142924,-77.94915173891225
-26481920.09070408,-77.91888913835193
-26475087.80997893,-77.89823062832156
-26468255.52925377,-77.88280332844505
-26461423.248528615,-77.87191476401156
-26454590.967803463,-77.85969283565832
-26447758.687078305,-77.85258112769652
-26440926.406353146,-77.84459681396359
-26434094.125627995,-77.84582861250188
-26427261.844902836,-77.8351003358134
-26420429.564177677,-77.83010746753804
-26413597.283452526,-77.82560765745671
-26406765.00272737,-77.8217737799275
-26399932.722002212,-77.8181359272901
-26393100.44127706,-77.81485504489602
-26386268.160551902,-77.8119268925077
-26379435.879826743,-77.81016112273689
-26372603.59910159,-77.80698158698152
-26365771.318376433,-77.83094365870465
-26358939.037651278,-77.79565736363696
-26352106.756926123,-77.79392220562683
-26345274.476200968,-77.79314419283017
-26338442.19547581,-77.79072239898082
-26331609.914750654,-77.78905384704045
-26324777.6340255,-77.78700704925035
-26317945.35330034,-77.7852872951212
-26311113.072575185,-77.7837561681776
-26304280.79185003,-77.78232635470937
-26297448.511124875,-77.78531731476942
-26290616.23039972,-77.77717681626457
-26283783.949674565,-77.8276438647339
-26276951.668949407,-77.7646140051159
-26270119.38822425,-77.76858583015478
-26263287.107499097,-77.76590849796702
-26256454.826773938,-77.7645294162693
-26249622.546048786,-77.76288886320988
-26242790.265323628,-77.76123296167422
-26235957.984598473,-77.75956115144722
-26229125.703873318,-77.75706044306622
-26222293.42314816,-77.75381467712859
-26215461.142423004,-77.73737582510141
-26208628.86169785,-77.76709677030769
-26201796.580972694,-77.7624682422996
-26194964.30024754,-77.75684832700408
-26188132.019522384,-77.75619512202954
-26181299.738797225,-77.75517170504462
-26174467.45807207,-77.75547448018636
-26167635.177346915,-77.75636574544914
-26160802.896621756,-77.75849313822482
-26153970.6158966,-77.76310160209344
-26147138.335171446,-77.7744623748978
-26140306.05444629,-77.80100727227124
-26133473.773721136,-78.02490468292127
-26126641.49299598,-77.58715329870739
-26119809.212270822,-77.66933703208493
-26112976.931545667,-77.68789158075433
-26106144.65082051,-77.69484262216805
-26099312.370095354,-77.69930001118256
-26092480.0893702,-77.7011990753279
-26085647.808645044,-77.70232786090672
-26078815.52791989,-77.70265226730498
-26071983.247194733,-77.7034588673879
-26065150.966469575,-77.71049852019141
-26058318.68574442,-77.67578018171344
-26051486.405019265,-77.66948266340553
-26044654.124294106,-77.70384179594703
-26037821.843568955,-77.69473962790633
-26030989.5628438,-77.69489251909148
-26024157.28211864,-77.69273830838408
-26017325.001393486,-77.69085526015002
-26010492.72066833,-77.68884172277508
-26003660.439943172,-77.68705672643983
-25996828.159218017,-77.68434685624007
-25989995.878492862,-77.68459321418395
-25983163.597767707,-77.67924161075098
-25976331.317042552,-77.68153098171686
-25969499.036317393,-77.67788279885741
-25962666.75559224,-77.6731826810764
-25955834.474867083,-77.67049762992708
-25949002.194141924,-77.66636776411886
-25942169.91341677,-77.66211310595975
-25935337.632691614,-77.65656746627207
-25928505.35196646,-77.64952622985992
-25921673.071241304,-77.6385937680004
-25914840.79051615,-77.62173855302584
-25908008.50979099,-77.58403442063167
-25901176.229065835,-77.41163949170871
-25894343.94834068,-77.99293835313789
-25887511.66761552,-77.77357425204133
-25880679.386890367,-77.72984495694665
-25873847.106165215,-77.71210985217392
-25867014.825440057,-77.70124759061657
-25860182.5447149,-77.69421892019605
-25853350.263989743,-77.68901911774434
-25846517.983264588,-77.68553465570507
-25839685.702539433,-77.68324645659229
-25832853.421814278,-77.68511018050928
-25826021.141089123,-77.64083963707952
-25819188.860363968,-77.66409272869001
-25812356.57963881,-77.6681554652331
-25805524.298913654,-77.66605163892066
-25798692.0181885,-77.66494550632497
-25791859.73746334,-77.66395230602741
-25785027.456738185,-77.66343605422564
-25778195.17601303,-77.66355370592045
-25771362.895287875,-77.66491179778617
-25764530.61456272,-77.66834110060132
-25757698.333837565,-77.6798227220909
-25750866.053112406,-77.71858759794044
-25744033.77238725,-77.39442677490251
-25737201.491662093,-77.59363994461117
-25730369.210936937,-77.61146539072026
-25723536.930211782,-77.61751962797247
-25716704.649486627,-77.62052796060465
-25709872.368761472,-77.62082888836089
-25703040.088036317,-77.62085317179177
-25696207.80731116,-77.61995190258851
-25689375.526586004,-77.61904531422084
-25682543.24586085,-77.61616807856802
-25675710.96513569,-77.61160652052311
-25668878.68441054,-77.60322342958007
-25662046.403685383,-77.66281894265876
-25655214.122960225,-77.62473178202539
-25648381.84223507,-77.61904840162414
-25641549.561509915,-77.61630170631085
-25634717.280784756,-77.61387523207733
-25627885.0000596,-77.61194424663782
-25621052.719334446,-77.6101542629771
-25614220.43860929,-77.60869854847292
-25607388.157884136,-77.60801596371944
-25600555.877158977,-77.60456935776304
-25593723.596433822,-77.62023777944432
-25586891.315708667,-77.60244334494173
-25580059.03498351,-77.59606110798724
-25573226.754258353,-77.59703590619621
-25566394.4735332,-77.59594066068287
-25559562.192808043,-77.59422391664604
-25552729.91208289,-77.59254281285708
-25545897.631357733,-77.59076413109885
-25539065.350632574,-77.58867921398137
-25532233.06990742,-77.5868041147061
-25525400.789182264,-77.58120965345371
-25518568.508457106,-77.58241207710687
-25511736.22773195,-77.8571540981708
-25504903.9470068,-77.5882673879544
-25498071.66628164,-77.58099035597428
-25491239.385556486,-77.58028517719602
-25484407.10483133,-77.57896422838938
-25477574.82410617,-77.57706919268529
-25470742.543381017,-77.57535038889893
-25463910.26265586,-77.57378269641355
-25457077.981930707,-77.57226975705674
-25450245.70120555,-77.56945260964913
-25443413.420480393,-77.56491746675653
-25436581.139755238,-77.56871891641563
-25429748.859030083,-77.5601551281566
-25422916.578304924,-77.56436267560792
-25416084.29757977,-77.56342694175802
-25409252.016854614,-77.56169923503835
-25402419.73612946,-77.56041058750598
-25395587.455404304,-77.55919143151004
-25388755.17467915,-77.55801569576764
-25381922.89395399,-77.55717453424162
-25375090.613228835,-77.55693469932503
-25368258.33250368,-77.56086409210599
-25361426.05177852,-77.60491812975299
-25354593.771053366,-77.53216193124408
-25347761.49032821,-77.53864107391736
-25340929.209603056,-77.54017545174992
-25334096.9288779,-77.53886474061214
-25327264.648152743,-77.53846457022505
-25320432.367427588,-77.53750637041655
-25313600.086702432,-77.53624517685044
-25306767.805977274,-77.53506779598696
-25299935.525252122,-77.53341289405556
-25293103.244526967,-77.53121879264404
-25286270.96380181,-77.53447589432932
-25279438.683076654,-77.542199457506
-25272606.4023515,-77.52542765468544
-25265774.12162634,-77.52607586305542
-25258941.840901185,-77.52489247599406
-25252109.56017603,-77.52349854586613
-25245277.279450875,-77.52250473826517
-25238444.99872572,-77.52121116093747
-25231612.718000565,-77.51976726120171
-25224780.437275406,-77.51881800463893
-25217948.15655025,-77.51845385857965
-25211115.875825092,-77.5163834157557
-25204283.595099937,-77.51681691604739
-25197451.314374782,-77.51072167156133
-25190619.033649627,-77.51763745169386
-25183786.752924472,-77.51683355422668
-25176954.472199317,-77.51703576938299
-25170122.19147416,-77.51811101029409
-25163289.910749003,-77.51991942870835
-25156457.63002385,-77.52404759198063
-25149625.34929869,-77.53098946526964
-25142793.068573534,-77.54496699241984
-25135960.787848383,-77.58547450675559
-25129128.507123224,-77.80110064401896
-25122296.22639807,-77.2468903127498
-25115463.945672914,-77.397431861747
-25108631.664947756,-77.42884658760732
-25101799.3842226,-77.44158867443674
-25094967.10349744,-77.44851769496294
-25088134.82277229,-77.45209868628547
-25081302.542047136,-77.45408722164169
-25074470.261321977,-77.45540021727466
-25067637.98059682,-77.45609399260334
-25060805.699871667,-77.45774892703946
-25053973.419146508,-77.4491984544556
-25047141.138421353,-77.45410651607544
-25040308.857696198,-77.45061066839867
-25033476.576971043,-77.45124292550665
-25026644.296245888,-77.44970308745525
-25019812.015520733,-77.4486031795748
-25012979.734795574,-77.44759008276871
-25006147.45407042,-77.44630946818933
-24999315.173345264,-77.44508745016039
-24992482.892620105,-77.44425318491517
-24985650.61189495,-77.44480343861318
-24978818.331169795,-77.44862610890021
-24971986.05044464,-77.41614792522144
-24965153.769719485,-77.4295576397936
-24958321.488994326,-77.42790418581932
-24951489.20826917,-77.42607038716459
-24944656.927544016,-77.42442349861547
-24937824.646818858,-77.42132811351543
-24930992.366093703,-77.41770108114987
-24924160.08536855,-77.41262931603829
-24917327.804643393,-77.40599085052342
-24910495.523918238,-77.39437026191865
-24903663.243193083,-77.36852172033957
-24896830.962467924,-77.2695762635152
-24889998.68174277,-77.62942952050827
-24883166.401017614,-77.48819117838711
-24876334.12029246,-77.4596128077669
-24869501.839567304,-77.44779770227063
-24862669.55884215,-77.43968433051988
-24855837.27811699,-77.43448740127147
-24849004.997391835,-77.43041779950713
-24842172.71666668,-77.42703078965638
-24835340.43594152,-77.42456193610295
-24828508.155216366,-77.42249149823294
-24821675.87449121,-77.40422282488174
-24814843.593766056,-77.41490732697451
-24808011.3130409,-77.41144259334718
-24801179.032315742,-77.4097314815428
-24794346.751590587,-77.40936687092184
-24787514.470865432,-77.40731366391148
-24780682.190140273,-77.40527946101246
-24773849.90941512,-77.40354920269974
-24767017.628689967,-77.40183666662595
-24760185.34796481,-77.39976111525424
-24753353.067239653,-77.39751176864773
-24746520.7865145,-77.39776617923673
-24739688.50578934,-77.3750456062205
-24732856.225064185,-77.39198182853299
-24726023.94433903,-77.38760433686278
-24719191.663613874,-77.38757512811783
-24712359.38288872,-77.38641114003028
-24705527.10216356,-77.3848129967618
-24698694.821438406,-77.38353934811735
-24691862.54071325,-77.38181813570881
-24685030.259988092,-77.38086915263918
-24678197.979262937,-77.37890933834669
-24671365.69853778,-77.3741537296223
-24664533.417812627,-77.38280486325226
-24657701.13708747,-77.32243803170574
-24650868.856362317,-77.36455907770562
-24644036.575637158,-77.36544949740606
-24637204.294912003,-77.36480418959675
-24630372.014186848,-77.36405420385155
-24623539.73346169,-77.36277523049885
-24616707.452736534,-77.36134167462451
-24609875.17201138,-77.3597780571088
-24603042.891286224,-77.358422868149
-24596210.61056107,-77.35700277177489
-24589378.329835914,-77.35514512448817
-24582546.049110755,-77.35509839324428
-24575713.7683856,-77.34588696061432
-24568881.48766044,-77.35014239611208
-24562049.206935287,-77.34940486332549
-24555216.926210135,-77.34844734738071
-24548384.645484976,-77.34729773836933
-24541552.36475982,-77.34678173584135
-24534720.084034666,-77.34642789366295
-24527887.803309508,-77.34681184867836
-24521055.522584353,-77.34855773011105
-24514223.241859198,-77.36334480270868
-24507390.961134043,-77.67526226089961
-24500558.680408888,-77.2972070711869
-24493726.399683733,-77.31367708144757
-24486894.118958574,-77.31719640617678
-24480061.83823342,-77.31791232616187
-24473229.557508264,-77.31789140100824
-24466397.276783105,-77.31724676796937
-24459564.99605795,-77.31642020342802
-24452732.715332795,-77.31504510084545
-24445900.43460764,-77.31472218372258
-24439068.153882485,-77.31447258736021
-24432235.873157326,-77.30866257062067
-24425403.59243217,-77.27690474504548
-24418571.311707016,-77.31159413182286
-24411739.030981857,-77.30930292962415
-24404906.750256702,-77.30750713918422
-24398074.469531547,-77.30620877722734
-24391242.188806392,-77.30506591564658
-24384409.908081237,-77.30413049864437
-24377577.627356082,-77.30405703348205
-24370745.346630923,-77.30457592797832
-24363913.06590577,-77.30909305948984
-24357080.785180613,-77.35169485368243
-24350248.50445546,-77.26485640523946
-24343416.223730303,-77.27510660318438
-24336583.94300515,-77.28215309093952
-24329751.66227999,-77.28225160443978
-24322919.381554835,-77.28168423625807
-24316087.100829676,-77.2809552793076
-24309254.82010452,-77.27974802220413
-24302422.539379366,-77.27876779509708
-24295590.25865421,-77.27747226173514
-24288757.977929056,-77.27593332004534
-24281925.6972039,-77.27763308985716
-24275093.416478742,-77.28214695915283
-24268261.135753587,-77.2682393215614
-24261428.85502843,-77.26999424119764
-24254596.574303273,-77.26828493753496
-24247764.293578118,-77.26713655830586
-24240932.012852963,-77.26622653024573
-24234099.732127808,-77.26536619744233
-24227267.451402653,-77.26466654363368
-24220435.170677498,-77.26402814357641
-24213602.88995234,-77.26616706382043
-24206770.609227184,-77.27232059622595
-24199938.32850203,-77.24468654486641
-24193106.04777687,-77.25786594925802
-24186273.76705172,-77.25226573047448
-24179441.48632656,-77.25394851980182
-24172609.205601405,-77.25462568190969
-24165776.92487625,-77.25577120505655
-24158944.64415109,-77.25732968083503
-24152112.363425937,-77.2605602143586
-24145280.08270078,-77.26644588756345
-24138447.801975626,-77.27745420187675
-24131615.52125047,-77.30687213349508
-24124783.240525316,-77.45006327681695
-24117950.959800158,-76.97920111290402
-24111118.679075003,-77.14390607853008
-24104286.398349848,-77.17588755545073
-24097454.11762469,-77.18678449024539
-24090621.836899534,-77.19305534901787
-24083789.55617438,-77.19605669567785
