gain,phase,side,dataset,amp_dB,err_amp_dB,log10_fwhm,dlog10_fwhm
-0.27,nonhermitian,single,theory,-26.02206313418071,0.13999021231859388,1.301029995663981,0.013029218753314059
1.9,nonhermitian,single,theory,-20.064545287168475,0.03839228479422374,1.3010299746671665,0.0020338267919195628
2.77,nonhermitian,single,theory,-16.56560408331707,0.011278715776143144,1.2024880079805482,0.0006655242804027544
-0.7,nonhermitian,single,theory,-26.971330264043594,0.13982022244820413,1.301029995663981,0.014069204944311582
-1.57,nonhermitian,single,theory,-28.72249076402841,0.13604453382431103,1.301029995663981,0.01563425531136015
8.4,nonhermitian,single,theory,15.304629844872249,2.7665664095704443,-0.3171737200036387,0.25193333868216766
-3.73,nonhermitian,single,theory,-32.50179859345121,0.12274404938675332,1.301029995663981,0.017857693283308804
6.67,nonhermitian,single,theory,15.236539405428385,2.059161168135873,-0.31840507522150013,0.17944932420217988
-4.6,nonhermitian,single,theory,-33.84863123834501,0.11804401298383738,1.3010074280681627,0.018380665816536235
5.8,nonhermitian,single,theory,15.370134921467663,1.618683006324872,-0.3304976529271893,0.13792465987775152
