phase,slope,intercept
0.0,0.00039314248880227613,0.29743267393797806
0.0795,0.000354448673930954,0.2679597421920681
0.1591,0.00031591969885012123,0.24573836985845818
0.2386,0.00027604046530398585,0.22506234232106784
0.3181,0.0002438579771702079,0.20636149800497303
0.3977,0.0002148373723643903,0.18260749115987304
0.4772,0.00021012290157458436,0.17174445435138272
0.5567,0.00020897660994687536,0.16706525567934197
0.6363,0.00022452650455098076,0.1677173091461163
0.7158,0.00022040268930650526,0.1758693959436425
0.7953,0.0002129754406291008,0.1870476027538389
0.8749,0.00018858026261665936,0.20456764230742658
0.9544,0.0001441288875635808,0.2246503614141035
1.0339,0.00013530647797146468,0.24117467644086554
1.1135,9.647064636560658e-05,0.2618981821308382
1.193,6.88706541379806e-05,0.27802629272098106
1.2725,8.719481339241845e-05,0.2962831435771215
1.3521,7.308959625943978e-05,0.31169419529089676
1.4316,7.538210065104504e-05,0.3276901385373584
1.5111,0.00011194537179743737,0.34169123834228876
1.5907,0.00010257977656571989,0.3511180538702188
1.6702,0.00011551697753112198,0.3599334134559194
1.7497,0.00014137695450443905,0.3697223949454816
1.8293,0.0001676533287799458,0.3746906736393221
1.9088,0.0001860675324920564,0.3785325434427616
1.9883,0.00019627128038562783,0.38052615444098636
2.0679,0.00021325280663655083,0.3805469194528358
2.1474,0.0002334500420535059,0.37895138107882237
2.227,0.00023450320191283468,0.3753393591128694
2.3065,0.00024654421713482213,0.3708904969562609
2.386,0.0002609513529671749,0.36601428541023395
2.4656,0.0002774365461947376,0.357727089902698
2.5451,0.000270268988508396,0.3499792993876419
2.6246,0.0003055352809719718,0.33798611642120246
2.7042,0.0003092826373435129,0.3281352130340742
2.7837,0.0003253685082738112,0.31788300580547985
2.8632,0.00032603666930178075,0.30458260272011933
2.9428,0.0003309476212428954,0.2941947192098035
3.0223,0.00034394604709839634,0.28062271340142353
3.1018,0.0003455365103385278,0.27075417061998835
3.1814,0.0003177648745592494,0.2587364655244874
3.2609,0.0003069535697903492,0.24899266891572408
3.3404,0.0002743119968042079,0.24244373474771388
3.42,0.0002550688442968204,0.23756653784570525
3.4995,0.00021311221872579898,0.2345158061532152
3.579,0.0001630864312243575,0.23474012510381173
3.6586,0.0001205163387090723,0.23750078344139433
3.7381,9.867656986514155e-05,0.24212651147524758
3.8176,6.72032665407562e-05,0.2497044372637106
3.8972,5.219196639041437e-05,0.25802292004911337
3.9767,5.105118995318206e-05,0.2697946836830609
4.0562,4.98811728604622e-05,0.28005946091295664
4.1358,8.223609854973287e-05,0.29319399892619924
4.2153,7.190692277277295e-05,0.3041811744875206
4.2948,0.0001226372286940569,0.3179761714402456
4.3744,0.00013157020350259386,0.32900192322258026
4.4539,0.00015822367594189434,0.33968672330367056
4.5334,0.00016423901268154285,0.3548744185602821
4.613,0.0001703455715229469,0.36491272926776247
4.6925,0.00019236406659439546,0.37319873287658856
4.772,0.00019367825744646237,0.3833547603833233
4.8516,0.00019690702942307188,0.3906532656780568
4.9311,0.00018821632956603253,0.39705462965457133
5.0106,0.000214692223001417,0.4038695382065678
5.0902,0.00024523240189176326,0.40852849635364585
5.1697,0.00025692159950470317,0.4117794656903228
5.2492,0.00027249737512996926,0.4150259075276763
5.3288,0.0002753256375881496,0.5370779409168281
5.4083,0.00030212334242824256,0.5319138439170178
5.4878,0.00032755065475068235,0.5233327467996751
5.5674,0.0003620470853808177,0.5016686021237047
5.6469,0.0003611156866405345,0.4912689839211217
5.7264,0.0003785459864620171,0.47493656061230155
5.806,0.00039166529351141745,0.45453331066504404
5.8855,0.0004163475475813037,0.4267486489256661
5.965,0.0004715133010402852,0.4020197539156434
6.0446,0.0004626466270694905,0.380151668693948
6.1241,0.0004765253537970256,0.35736444287535224
6.2037,0.0004488775590063144,0.3275664807447713
6.2832,0.00041087589413279455,0.2968232375934119
