set_back_attenuation_db,measured_attenuation_db
0.0,-1.899907624023129
1.0,-2.9949850779103078
2.0,-4.008062320448239
3.0,-5.00447888226158
4.0,-5.994650829524368
5.0,-6.973532103293678
6.0,-7.963911636859947
7.0,-8.964934023443831
8.0,-10.212827665842228
9.0,-11.258582354276244
10.0,-12.20704435065756
11.0,-13.196497969068432
12.0,-14.393215750584908
13.0,-15.382419950540942
14.0,-16.361448613111214
15.0,-17.34266673150851
16.0,-18.56265345743853
17.0,-19.59469586934913
18.0,-20.68038876055892
19.0,-21.710314619550783
20.0,-22.618998622754248
