gain,phase,side,dataset,amp_dB,err_amp_dB,ln_fwhm,dln_fwhm
-3.6,nonhermitian,single,exp,-25.774459141998683,0.5784101271970101,2.995728797601936,0.12355565807044759
4.9,nonhermitian,single,exp,13.954605738786583,0.16162793031788247,-0.33694693407211695,0.029623899790044306
-4.1,nonhermitian,single,exp,-26.360251511869638,0.3764043532446699,2.995732273553991,0.08003348483355002
5.4,nonhermitian,single,exp,15.304231251473565,0.7199604208891994,-0.9530245030416393,0.13131063699686513
2.4,nonhermitian,single,exp,-14.507403552790679,0.07171566895917181,2.339952053352451,0.01524712840265005
1.9,nonhermitian,single,exp,-16.352102820762774,0.10904459231156949,2.469809893627983,0.02165136398323904
-1.6,nonhermitian,single,exp,-23.287520553780894,0.38676392013537964,2.995732273553991,0.062292687085384615
-2.1,nonhermitian,single,exp,-23.94753392032822,0.35651428376415595,2.995732273553991,0.061392663714318375
6.4,nonhermitian,single,exp,15.061749864877946,1.9540130791576011,-0.9495410986181677,0.37743309355983873
3.9,nonhermitian,single,exp,-5.793191475730969,0.03406919759223115,1.553399600103259,0.009907449288858642
-0.6,nonhermitian,single,exp,-21.827686134736926,0.35365552232032726,2.9957290705914716,0.048779724713833475
3.4,nonhermitian,single,exp,-9.761518293586843,0.033689603671863466,1.9317802307821808,0.009477091919209901
2.9,nonhermitian,single,exp,-12.46164580120377,0.05202128241545445,2.1768027957823675,0.012408073528236974
4.4,nonhermitian,single,exp,1.582917351363394,0.0673069882737094,0.8502076750244314,0.015437276438012614
-1.1,nonhermitian,single,exp,-22.503458335619122,0.3906361780862255,2.9957269205701897,0.05778837035140354
-4.6,nonhermitian,single,exp,-26.830619873153665,0.5073803615219923,2.995701142180915,0.1139972517736069
8.4,nonhermitian,single,exp,15.095420131429265,3.1180941306324,-1.0834593737808884,0.6522132400335366
0.9,nonhermitian,single,exp,-18.991968231392697,0.16251661501569714,2.6639302001866962,0.029952174361333607
7.4,nonhermitian,single,exp,15.448471077891842,2.5139994946640414,-1.1142045916070835,0.5337505813060732
7.53,hermitian,left,theory,-18.43552515413225,0.08873247827039776,3.0868632312384046,0.02785198294340778
7.53,hermitian,right,theory,-18.15760320040106,0.08721251791806495,3.1363755037759367,0.02648365142413757
-0.7,hermitian,left,theory,-29.302725598562986,0.030957070545774457,3.9971614941045686,0.0024347812826141543
-0.7,hermitian,right,theory,-29.456510196108283,0.030711473508464593,3.9884033604234785,0.002349876220559903
5.37,hermitian,left,theory,-23.388264506569865,0.13185258807829214,3.868781651374434,0.011797679617471345
5.37,hermitian,right,theory,-23.461259631114295,0.1176132065454567,3.867291676940705,0.011070422369247516
4.5,hermitian,left,theory,-24.60663136787654,0.0902239610512261,3.9322486228344062,0.008225027851708632
4.5,hermitian,right,theory,-24.85434072088575,0.08041600497931967,3.915054349175759,0.007747009213159893
-3.73,hermitian,left,theory,-31.273795389910223,0.02658247396714941,4.033787776979154,0.0014959752670637254
-3.73,hermitian,right,theory,-31.4332797794243,0.02676802506884357,4.026776833490467,0.0014493219395192336
3.2,hermitian,left,theory,-25.979512797339712,0.054829634231683855,3.9495479634017325,0.005635803070971984
3.2,hermitian,right,theory,-26.1925364349743,0.05079498823661055,3.933454729206016,0.005372990694587601
-1.57,hermitian,left,theory,-29.9165575849959,0.02937220593562273,4.008139552927741,0.0020929348139398824
-1.57,hermitian,right,theory,-30.069652755993147,0.029307622647852583,4.000090072234024,0.002022303768935171
1.03,hermitian,left,theory,-27.944750992694708,0.03607520403522102,3.974686200577208,0.0034070839494149434
1.03,hermitian,right,theory,-28.107865785937,0.03510891316009079,3.9638009749312633,0.003277777719600684
-4.6,hermitian,left,theory,-31.750696746467888,0.025732693721781885,4.043118067355145,0.0013284465168570431
-4.6,hermitian,right,theory,-31.913971609262873,0.025974344594537513,4.036374593341996,0.001288323117963389
2.33,hermitian,left,theory,-26.803723974508785,0.04415299441490106,3.958608620163418,0.004542389561657047
2.33,hermitian,right,theory,-26.98816463517217,0.04188979119506442,3.945077730975186,0.004351624178046934
0.17,hermitian,left,theory,-28.646307327802024,0.03306767184529491,3.9859283269980494,0.0028633956241904544
0.17,hermitian,right,theory,-28.802636528128712,0.03254323346240895,3.9762813588778374,0.0027596554819580297
-2.43,hermitian,left,theory,-30.4889207915111,0.028101941247534512,4.01878160546183,0.0018167437053087613
-2.43,hermitian,right,theory,-30.64383252476913,0.028163292814234353,4.011224552558882,0.0017573408978612433
4.07,hermitian,left,theory,-25.10124554394284,0.07564509332067715,3.9438702676873736,0.007204621737078262
4.07,hermitian,right,theory,-25.36618186066992,0.06813918923322859,3.92427924925923,0.0068119965520776465
6.23,hermitian,left,theory,-22.051568909231317,0.22324355947775487,3.8077296398734384,0.018542065079198984
6.23,hermitian,right,theory,-22.009151279746927,0.2001157623571821,3.8153523317067086,0.0172066361534163
-0.27,hermitian,left,theory,-28.97992267198195,0.03193018001037373,3.991563404282202,0.0026368426163566176
-0.27,hermitian,right,theory,-29.134689755048623,0.031560606727435214,3.982382814331465,0.0025431754928990414
-2.0,hermitian,left,theory,-30.207682148127482,0.028704731171877995,4.013524933646177,0.00194756168561385
-2.0,hermitian,right,theory,-30.36175206847051,0.0287095209418311,4.005724146389001,0.0018828940883529235
6.67,hermitian,left,theory,-21.332782344140572,0.3057022163893883,3.7766471892805944,0.024326090580703584
6.67,hermitian,right,theory,-21.228724937541692,0.27511050939816784,3.7880792550768096,0.022450823891068495
-4.17,hermitian,left,theory,-31.51668942064861,0.026132999994786132,4.03852731237646,0.001407642915455002
-4.17,hermitian,right,theory,-31.67813183543291,0.026348913533183804,4.031653300923999,0.0013644515396457387
5.8,hermitian,left,theory,-22.73535302122972,0.1689155842390342,3.838248716999545,0.014636196871668882
5.8,hermitian,right,theory,-22.748664289108564,0.1510026305102663,3.8417809283362403,0.013666957349881381
8.4,hermitian,left,theory,-16.044609859105353,0.05322397106095522,2.8065676312753816,0.016487719468189953
8.4,hermitian,right,theory,-15.773116961102254,0.05270168753680693,2.8635327242063124,0.015918685246103962
1.9,hermitian,left,theory,-27.19640527782733,0.04074909432208784,3.963763548004058,0.004110228967479003
1.9,hermitian,right,theory,-27.371567034262483,0.03904216474224498,3.951253886807866,0.0039442936815810535
2.77,hermitian,left,theory,-26.398251805896326,0.04867475452274661,3.9538118619440983,0.005044433234555083
2.77,hermitian,right,theory,-26.594936329805705,0.04566356978678243,3.9390962727583565,0.004822312742418376
-2.87,hermitian,left,theory,-30.760318309599537,0.02754945499999195,4.023905237594837,0.001698629686374377
-2.87,hermitian,right,theory,-30.91618491233705,0.02765782214007828,4.016573921112427,0.001643919839808677
4.93,hermitian,left,theory,-24.012556943314078,0.10636574820399858,3.8998841437246026,0.009684122851223123
4.93,hermitian,right,theory,-24.158866573014656,0.09475779697708475,3.8918186978391454,0.009113912821938961
7.97,hermitian,left,theory,-17.28529268318355,0.06327262411237555,2.90931836144217,0.021183011147165774
7.97,hermitian,right,theory,-17.00759915883394,0.0625247019293127,2.965058913959532,0.020262562560977485
-1.13,hermitian,left,theory,-29.615005529370585,0.030114667350488844,4.0026737415875635,0.0022544653408932084
-1.13,hermitian,right,theory,-29.767888741366782,0.02996767850790505,3.9943174934333197,0.002177144967281639
1.47,hermitian,left,theory,-27.5765877508193,0.03813118430535667,3.96915653337143,0.003735032383674131
1.47,hermitian,right,theory,-27.74489261251761,0.03684415246089756,3.9575135523390106,0.0035891803077277365
-3.3,hermitian,left,theory,-31.02199427987829,0.027041616425353965,4.028903512538916,0.0015919263226830587
-3.3,hermitian,right,theory,-31.179138294938667,0.027190062190715736,4.0217644021620576,0.0015414210022161958
3.63,hermitian,left,theory,-25.547222053441715,0.06339139131289784,3.9460997835011327,0.006341830575797751
3.63,hermitian,right,theory,-25.78222910118552,0.05792950450131684,3.928393150181954,0.006024649541927882
7.1,hermitian,left,theory,-20.57355819453608,0.4313002834309607,3.7444456125419423,0.0334111387648921
7.1,hermitian,right,theory,-20.389882061807818,0.3909838059338213,3.7602104525338333,0.03083732726709227
0.6,hermitian,left,theory,-28.301249245762644,0.034416451443359364,3.9802947229750534,0.0031178836920811993
0.6,hermitian,right,theory,-28.460444832346795,0.03369833477874451,3.9700720928413102,0.003002452611505573
4.07,nonhermitian,single,theory,-7.234474330820563,0.01722327359159692,1.9456135784960014,0.004684781997472391
6.23,nonhermitian,single,theory,15.211821554954854,1.8474853517232308,-0.7170275240236865,0.3662667031160507
-1.13,nonhermitian,single,theory,-27.869025224491395,0.13828860433500267,2.995732273553991,0.03436205484115791
-3.3,nonhermitian,single,theory,-31.79842621326676,0.1253046533367197,2.995732273553991,0.04038457238478755
2.33,nonhermitian,single,theory,-18.453822342601384,0.009965549135372953,2.9239302758622605,0.0011942513566195398
0.17,nonhermitian,single,theory,-25.01198312661783,0.13772969537783197,2.995732273553991,0.027049211179431643
-2.0,nonhermitian,single,theory,-29.53768866704962,0.13344450121400442,2.995732273553991,0.03737407827456121
-4.17,nonhermitian,single,theory,-33.184498741740185,0.12033591633596785,2.9956791353883263,0.04176824361078692
5.37,nonhermitian,single,theory,15.35203017747687,1.3731666118685908,-0.7306244676869115,0.26556221327068247
4.5,nonhermitian,single,theory,0.3056743297918759,0.03521080705892876,1.2399495666232496,0.009186220492270256
3.2,nonhermitian,single,theory,-14.28595914850174,0.012775249504363373,2.575001684368065,0.0020606701564140598
1.03,nonhermitian,single,theory,-22.758671926533466,0.11715698857953072,2.995732273553991,0.018676635599508783
7.53,nonhermitian,single,theory,15.29536697638267,2.414081885564535,-0.7199619584889962,0.49588455358380185
-2.87,nonhermitian,single,theory,-31.071951560919274,0.1279514787289635,2.995732273553991,0.03952577313796642
7.1,nonhermitian,single,theory,15.3180872774456,2.217601829914905,-0.7126326167900511,0.4485972328602058
0.6,nonhermitian,single,theory,-23.929299628492338,0.13119923253387356,2.995732273553991,0.02336029957274693
1.47,nonhermitian,single,theory,-21.47970005237422,0.08975573004082449,2.995732273553991,0.01262462688430565
3.63,nonhermitian,single,theory,-11.370202666829158,0.014425907609222577,2.3192368542504647,0.0029565032240002546
-2.43,nonhermitian,single,theory,-30.319500142741845,0.1306998167623803,2.995732273553991,0.03853568018119368
7.97,nonhermitian,single,theory,15.295154090150893,2.5997635850320098,-0.7314718310806928,0.5396367385310529
4.93,nonhermitian,single,theory,15.34113238981153,1.1045998216327497,-0.7201119912558496,0.2101767346438981
-0.27,nonhermitian,single,theory,-26.02206313418071,0.13999021231859388,2.995732273553991,0.030000884874739415
1.9,nonhermitian,single,theory,-20.064545287168475,0.03839228479422374,2.995732225207038,0.004683059252805888
2.77,nonhermitian,single,theory,-16.56560408331707,0.011278715776143144,2.7688309616801154,0.0015324262870809716
-0.7,nonhermitian,single,theory,-26.971330264043594,0.13982022244820413,2.995732273553991,0.032395541575049966
-1.57,nonhermitian,single,theory,-28.72249076402841,0.13604453382431103,2.995732273553991,0.03599920322000086
8.4,nonhermitian,single,theory,15.304629844872249,2.7665664095704443,-0.7303194795698458,0.5800979500777794
-3.73,nonhermitian,single,theory,-32.50179859345121,0.12274404938675332,2.995732273553991,0.04111885834940674
6.67,nonhermitian,single,theory,15.236539405428385,2.059161168135873,-0.7331547797386739,0.41319733885579496
-4.6,nonhermitian,single,theory,-33.84863123834501,0.11804401298383738,2.9956803097442743,0.04232304710846156
5.8,nonhermitian,single,theory,15.370134921467663,1.618683006324872,-0.760998968899666,0.3175832657907846
